Method,LB_days,FH_hours,N_params,RMSE,nRMSE,nMBE,nMAE,R2,NICE1,NICE2,NICE3,NICE_Sigma
AR_OLS,1.0,0.5,53,587.9769674407937,0.31719733248554083,0.002525271876392296,0.19955481054112284,0.8968350177316886,0.8439675387608443,0.8847189722343488,0.9159419704021156,0.8815428271324363
BLEND_opti,1.0,0.5,0,625.7782418764419,0.337590075874335,-0.014660366543456472,0.21619789997791525,0.8831435745429352,0.9143553544755236,0.9415979088590608,0.9546118980035597,0.9368550537793814
Persistence_P,1.0,0.5,0,664.5917923019824,0.3585289141979878,-0.0006075209070508452,0.23644844306940913,0.8681981133891028,1.0,1.0,1.0,1.0
Persistence_Pcyclic,1.0,0.5,0,1568.9555368444046,0.8464081735065201,-0.0059356409517053186,0.5100864982350504,0.2654303983308993,2.1572842333553246,2.3607807905811304,2.339525217406556,2.2858634137810037
AR_OLS,1.0,1.0,53,781.5330229211002,0.4216154778969234,0.006307907106529347,0.28451421286199274,0.8177337128985985,0.7563317929073831,0.7913048696824022,0.8314250567300548,0.7930205731066134
BLEND_opti,1.0,1.0,0,841.4103300286235,0.4539176311149173,-0.03653173405649968,0.2964775422486165,0.7887350948481997,0.7881342335415727,0.8519308487620288,0.8902741945470534,0.843446425616885
Persistence_P,1.0,1.0,0,987.6509710281146,0.5328104173883611,-0.004436929681149011,0.3761764552674742,0.7089157749593875,1.0,1.0,1.0,1.0
Persistence_Pcyclic,1.0,1.0,0,1568.9555368444046,0.8464081735065201,-0.0059356409517053186,0.5100864982350504,0.2654303983308993,1.3559766728950688,1.588572869230483,1.6651800618402,1.5365765346552507
AR_OLS,1.0,3.0,53,1162.703265432367,0.6272462948210833,0.012706394316171769,0.4512526553960579,0.5965873947881165,0.5597751320560195,0.5846351897128835,0.6190651091393218,0.587825143636075
BLEND_opti,1.0,3.0,0,1235.9243346861697,0.6667470391276771,-0.10603794274296853,0.4320263752235056,0.5441778276037088,0.5359250928510635,0.6214525058647037,0.6797277055204671,0.6123684347454114
Persistence_P,1.0,3.0,0,1988.7671592320244,1.0728849474988431,-0.0771918195210478,0.8061320154374039,-0.18026508397149388,1.0,1.0,1.0,1.0
Persistence_Pcyclic,1.0,3.0,0,1568.9555368444046,0.8464081735065201,-0.0059356409517053186,0.5100864982350504,0.2654303983308993,0.6327580203575955,0.7889086108251442,0.876849776253595,0.7661721358121115
AR_OLS,1.0,6.0,53,1297.4430806274158,0.6999347032556668,0.009639151730322757,0.5056122857143848,0.4976709337983234,0.45746573607461233,0.4766151595828329,0.5109396927684842,0.4816735294753098
BLEND_opti,1.0,6.0,0,1446.2157602188672,0.7801934544080004,-0.15755231855117324,0.4936510595179956,0.37586597382062326,0.44664350864682173,0.5312667396666051,0.5924382957843954,0.523449514699274
Persistence_P,1.0,6.0,0,2722.202713323322,1.4685531695389185,-0.378938799816497,1.105246242162101,-1.2113251482525897,1.0,1.0,1.0,1.0
Persistence_Pcyclic,1.0,6.0,0,1568.9555368444046,0.8464081735065201,-0.0059356409517053186,0.5100864982350504,0.2654303983308993,0.4615138950730207,0.5763551440035819,0.647392721425301,0.5617539201673012
AR_OLS,1.0,10.0,53,1301.433303125216,0.7020873180729359,0.010044978424671112,0.5078707653395615,0.49457640580642903,0.4746916452981879,0.48675300628509316,0.5166571710789417,0.4927006075540743
BLEND_opti,1.0,10.0,0,1495.28009434979,0.8066623073874755,-0.1773193801138255,0.5092955700955046,0.33279885388045805,0.47602336777560805,0.5592542310199283,0.6168975061937978,0.5507250349964448
Persistence_P,1.0,10.0,0,2673.7036778833194,1.442389279588179,-0.8219928048252806,1.0698961533661109,-1.1332326730932802,1.0,1.0,1.0,1.0
Persistence_Pcyclic,1.0,10.0,0,1568.9555368444046,0.8464081735065201,-0.0059356409517053186,0.5100864982350504,0.2654303983308993,0.47676262469980335,0.5868098061212578,0.652982230005302,0.5721848869421211
