Method,quantity,LB_days,FH_hours,N_params,window,lambda_ridge,lambda_bc,refit_every,RMSE,nRMSE,nMBE,nMAE,R2,NICE1,NICE2,NICE3,NICE_Sigma
ELM_rolling_6m,PAC,1.0,0.5,27000,6m,10.0,1.0,336,574.2280748393927,0.3175987872484441,-0.0001990924481529163,0.1971480011930304,0.8808460910094762,0.8405608892063045,0.8929981719916879,0.9223177847861165,0.8852922819947029
Persistence_P,PAC,1.0,0.5,0,6m,,,336,643.0338749279518,0.3556544651598686,-0.00035224344167961104,0.23454339087699694,0.8505805426828772,1.0,1.0,1.0,1.0
ELM_rolling_6m,PAC,1.0,1.0,27000,6m,25.0,1.0,336,703.3438650598342,0.38901121061368293,0.0018966999303230085,0.2500464394872015,0.8212381428502793,0.6844551877817555,0.7659604269374348,0.8260689690947426,0.7588281946046442
Persistence_P,PAC,1.0,1.0,0,6m,,,336,918.2509178340159,0.5078737711934799,-0.002483729875733564,0.3653218559093323,0.6953071993170368,1.0,1.0,1.0,1.0
ELM_rolling_6m,PAC,1.0,3.0,27000,6m,25.0,1.0,336,892.6444120162294,0.4937111143159424,-0.011151124768186561,0.34617027526595234,0.7120636919274921,0.4370390075407161,0.4907847382797314,0.5324160681710237,0.48674660466382375
Persistence_P,PAC,1.0,3.0,0,6m,,,336,1818.8104527151188,1.0059626467735494,-0.04064388736315912,0.7920809568324445,-0.19540297800667306,1.0,1.0,1.0,1.0
ELM_rolling_6m,PAC,1.0,6.0,27000,6m,50.0,1.0,336,1010.0685712644624,0.5586570342473873,-0.020727472999478948,0.39010804683491085,0.6313271411593098,0.34330018400953793,0.3866995560246209,0.41931690979735964,0.38310554994383955
Persistence_P,PAC,1.0,6.0,0,6m,,,336,2612.0241296583026,1.4446797922152723,-0.2786627975142358,1.1363467455178307,-1.4654364912799016,1.0,1.0,1.0,1.0
ELM_rolling_6m,PAC,1.0,10.0,27000,6m,25.0,1.0,336,1025.9183433927171,0.5674233565967531,-0.027223840493532523,0.3984558871397238,0.6196660965764087,0.36020093184948787,0.39993444573274417,0.4281344028348208,0.3960899268056843
Persistence_P,PAC,1.0,10.0,0,6m,,,336,2565.216260662594,1.4187909109882806,-0.7424100929265915,1.106204487294944,-1.3778662289228434,1.0,1.0,1.0,1.0
