Method,LB_days,FH_hours,N_params,n_hidden,n_candidates,lambda_ridge,RMSE,nRMSE,nMBE,nMAE,R2,NICE1,NICE2,NICE3,NICE_Sigma
BLEND_opti,1.0,0.5,0,,,,474.8366562744051,0.44463763851581767,-0.014607316432677318,0.2167610474817469,0.9185126414210874,0.9110746702467855,0.9414072204457066,0.9545953869732647,0.9356924258885856
ELM,1.0,0.5,27000,500.0,100.0,25.0,453.24221470462476,0.4244165764352479,0.021631886453815658,0.21990552639271832,0.9257558105695984,0.924291321117383,0.8985942595113342,0.9125734428897485,0.9118196745061553
Persistence_P,1.0,0.5,0,,,,504.39028505601965,0.4723116934511138,0.0,0.23791798253268548,0.9080535024936408,1.0,1.0,1.0,1.0
Persistence_Pcyclic,1.0,0.5,0,,,,1190.4455117074754,1.1147346653066255,-0.005961071981523069,0.5102694108491246,0.4878221319321282,2.1447282185953433,2.3601674080127446,2.3394788555454684,2.281458160717852
BLEND_opti,1.0,1.0,0,,,,638.551886132419,0.5978861530006649,-0.03613258880310749,0.2972273181065605,0.8526429823285652,0.7791506948739064,0.8505319822463381,0.8898499197625538,0.8398441989609328
ELM,1.0,1.0,27000,500.0,100.0,10.0,584.1388457695808,0.5469383693011258,0.024796713761862023,0.2981408277897355,0.8766865025136497,0.7815453660937458,0.7780554426182686,0.814934393829867,0.7915117341806271
Persistence_P,1.0,1.0,0,,,,750.7676365631085,0.7029555213451105,0.0,0.3814760354602035,0.7963007051499995,1.0,1.0,1.0,1.0
Persistence_Pcyclic,1.0,1.0,0,,,,1190.4998985093268,1.114683739763973,-0.0059610719815230695,0.5102694108491246,0.4878028416368767,1.337618522310446,1.5857101991759273,1.664338742898135,1.5292224881281695
BLEND_opti,1.0,3.0,0,,,,937.9615230959868,0.8780676003967358,-0.10546045120138535,0.4327736061146243,0.6820917226033021,0.489669400573664,0.5995212047766307,0.6642442511820298,0.5844782855107749
ELM,1.0,3.0,27000,500.0,100.0,10.0,835.7422377038532,0.7823755699365965,0.055046121134931715,0.4396202707042592,0.7476074725704533,0.497416181103176,0.5341852313697272,0.5790999063937199,0.5369004396222077
Persistence_P,1.0,3.0,0,,,,1564.5176778116663,1.4646147515731087,0.0,0.8838077396864407,0.11551038356623256,1.0,1.0,1.0,1.0
Persistence_Pcyclic,1.0,3.0,0,,,,1190.6086944792603,1.1145818816982638,-0.0059610719815230695,0.5102694108491246,0.48776424610708546,0.5773534083670269,0.7610068657994311,0.856868224813705,0.7317428329933877
BLEND_opti,1.0,6.0,0,,,,1097.6540281083212,1.0272811442578909,-0.15703949487673136,0.4942647052241777,0.5646958921225127,0.33302240508658576,0.46065228286240806,0.5383367748548857,0.4440038209346265
ELM,1.0,6.0,27000,500.0,100.0,25.0,965.916862569508,0.9039899225336554,0.0879794299536441,0.5238126880912741,0.6629135384209743,0.3529310496162303,0.4053661685775083,0.45678398926534675,0.40502706915302844
Persistence_P,1.0,6.0,0,,,,2382.8255474773773,2.23005764320662,-4.2510221208771343e-07,1.4841785347615544,-1.0513809116565493,1.0,1.0,1.0,1.0
Persistence_Pcyclic,1.0,6.0,0,,,,1190.771944375292,1.1144290771439025,-0.005961071981523069,0.5102694108491246,0.48770631543524434,0.3438059498220028,0.4997310632479683,0.588271394731274,0.47726946926708164
BLEND_opti,1.0,10.0,0,,,,1135.064105292684,1.0619043411728726,-0.17714915086768684,0.5095208444288593,0.5346183078244975,0.269587377201018,0.4113744006279131,0.49828764866552205,0.3930831421648177
ELM,1.0,10.0,27000,500.0,100.0,10.0,977.3457567735005,0.9143516186489314,0.0903697016532264,0.5303388432227306,0.6549635490382004,0.2806021762122434,0.35421349598158625,0.41453505948084907,0.3497835772248929
Persistence_P,1.0,10.0,0,,,,2759.1996574413633,2.5813573706871518,-0.0009947169049982195,1.890002602195038,-1.7500131423923753,1.0,1.0,1.0,1.0
Persistence_Pcyclic,1.0,10.0,0,,,,1190.9897153983954,1.114225305140527,-0.0059610719815230695,0.5102694108491247,0.4876290046876438,0.26998344354473414,0.43164318036441535,0.5274344135342077,0.4096870124811191
