Method,quantity,LB_days,FH_hours,N_params,window,lambda_ridge,lambda_bc,RMSE,nRMSE,nMBE,nMAE,R2,NICE1,NICE2,NICE3,NICE_Sigma
ELM_rolling_1m,GHI,1.0,0.5,864,1m,10.0,1.0,145.21063353044525,0.5814073507619985,-0.07086140590071076,0.42909308120472495,0.6455075228225676,2.1403114165397166,2.0626917466638788,1.9911131600067704,2.064705441070122
Persistence_P,GHI,1.0,0.5,0,1m,,,70.39861082747994,0.28186826834515877,0.0006780287596555171,0.20048161117527846,0.9166820911019309,1.0,1.0,1.0,1.0
ELM_rolling_1m,GHI,1.0,6.0,864,1m,10.0,1.0,184.18790468710998,0.7374680428212834,-0.012184799959101331,0.5880745548925971,0.4296618826387786,0.49391451174227713,0.46460182124747146,0.4572162855619535,0.4719108728505674
Persistence_P,GHI,1.0,6.0,0,1m,,,396.44249390275587,1.5873119929688544,-0.30748616072886686,1.1906403657146487,-1.642229772770936,1.0,1.0,1.0,1.0
