Method,LB_days,FH_hours,N_params,n_hidden,n_candidates,eps_robust,RMSE,nRMSE,nMBE,nMAE,R2,NICE1,NICE2,NICE3,NICE_Sigma
ELM_nocyclic,1.0,0.5,400,8,2,3.1622776601683795,2937.4347148597926,0.584624950040859,-0.011800328950014611,0.4869253041695005,0.5000363880596095,1.479158175994553,1.230131004291986,1.1254048447708835,1.2782313416858073
ELM_nocyclic,1.0,6.0,200,4,2,5.0,3215.068910800335,0.6398812854788096,0.17122112762415953,0.5424368391838106,0.40106109741489715,0.4714155301305839,0.45590185921956905,0.4555223837692315,0.4609465910397948
