Method,quantity,LB_days,FH_hours,RMSE,nRMSE,nMBE,nMAE,R2,NICE1,NICE2,NICE3,NICE_Sigma
NeuralProphet_classic,PAC,1.0,0.5,1248.8629557879374,0.5215930802164639,0.01024217665945723,0.25847678757974724,0.8978319900720239,1.079924683673194,1.0659618711990877,1.047102451957921,1.0643296689434008
NeuralProphet_classic,PAC,1.0,1.0,1378.316311838949,0.5756598410360324,0.017164362422976746,0.2924774545876158,0.8755533647833652,0.7715686973279112,0.8090025944732387,0.8326289112289538,0.8044000676767012
NeuralProphet_classic,PAC,1.0,3.0,1968.3210310718835,0.8220778946909222,0.020831146168319256,0.42166707022215066,0.746208406508983,0.4742152455436708,0.5467572358523954,0.6010483795366441,0.5406736203109034
NeuralProphet_classic,PAC,1.0,6.0,2122.4950294863615,0.8864693400049193,0.0075784578549490415,0.43338983263154773,0.7048935303844363,0.28715524707532003,0.3847115979642245,0.4482572813260545,0.373374708788533
NeuralProphet_classic,PAC,1.0,10.0,2114.4950193987593,0.8831281007728512,0.008677834081391245,0.43889965685404203,0.707113941258314,0.22785344714961878,0.329797343939807,0.3963017646258795,0.3179841852384351
