Method,quantity,LB_days,FH_hours,N_params,window,lambda_ridge,lambda_bc,constraints,gamma1,gamma2,refit_every,RMSE,nRMSE,nMBE,nMAE,R2,NICE1,NICE2,NICE3,NICE_Sigma
ELM_rolling_6m_none,PAC,1.0,0.5,27000,6m,25.0,0.75,none,0.0,0.0,2,989.3099476196035,0.4133933452512363,-0.008938925377681366,0.1941239175771777,0.9358250615736607,0.8102692109305903,0.8440816316001434,0.8731779156195242,0.842509586050086
Persistence_P,PAC,1.0,0.5,0,6m,,,none,0.0,0.0,2,1172.054823351798,0.4897551726929038,-0.00021732197195218733,0.2395795310477456,0.9099265989095293,1.0,1.0,1.0,1.0
ELM_rolling_6m_none,PAC,1.0,1.0,27000,6m,25.0,0.75,none,0.0,0.0,2,1216.9595421628023,0.5085190716828136,-0.013466413956445902,0.24877008547972268,0.9028924517285677,0.6560984203863035,0.7145097906433081,0.768921756876983,0.7131766559688648
Persistence_P,PAC,1.0,1.0,0,6m,,,none,0.0,0.0,2,1703.2090505955337,0.711703434077466,-0.0003280273210753594,0.3791658046261559,0.8097885653863187,1.0,1.0,1.0,1.0
ELM_rolling_6m_none,PAC,1.0,3.0,27000,6m,50.0,0.75,none,0.0,0.0,2,1661.7523828637056,0.6943803387241188,-0.02300226413280654,0.3591430449276499,0.8189354919111571,0.40401232108061624,0.46188177491272725,0.5088514121590444,0.4582485027174626
Persistence_P,PAC,1.0,3.0,0,6m,,,none,0.0,0.0,2,3597.7872977943207,1.5033724568485565,-0.0009196268938369658,0.8889408223171166,0.15126584992755576,1.0,1.0,1.0,1.0
ELM_rolling_6m_none,PAC,1.0,6.0,27000,6m,100.0,1.0,none,0.0,0.0,2,1880.0171943186713,0.7855845369383394,0.028522172991402507,0.4337617657913624,0.7682475408273021,0.2875325837698544,0.34097695943804135,0.3849363394498119,0.3378152942192359
Persistence_P,PAC,1.0,6.0,0,6m,,,none,0.0,0.0,2,5513.619446361119,2.303922641087095,-0.0012706146186461326,1.5085656036066928,-0.9933074214712811,1.0,1.0,1.0,1.0
ELM_rolling_6m_none,PAC,1.0,10.0,27000,6m,100.0,1.0,none,0.0,0.0,2,1884.3793938907197,0.7874073269325991,0.03228704788330383,0.43555673083509805,0.7671708237267164,0.22610344781521452,0.2940403657981147,0.3427427852116447,0.2876288662749913
Persistence_P,PAC,1.0,10.0,0,6m,,,none,0.0,0.0,2,6408.573832289803,2.677888543619978,-0.00037723499131814823,1.9263604117663058,-1.692920255249347,1.0,1.0,1.0,1.0
