Method,quantity,LB_days,FH_hours,N_params,window,lambda_ridge,lambda_bc,constraints,gamma1,gamma2,RMSE,nRMSE,nMBE,nMAE,R2,NICE1,NICE2,NICE3,NICE_Sigma
ELM_rolling_1m_c1,PAC,1.0,0.5,27000,1m,25.0,1.0,c1,10.0,0.0,1350.20469919404,0.5641969321311039,0.00809610446431881,0.27685352770134575,0.8804636642203242,1.1555808899474467,1.151997903419548,1.117876145266972,1.1418183128779889
Persistence_P,PAC,1.0,0.5,0,1m,,,c1,10.0,0.0,1172.054823351798,0.4897551726929038,-0.00021732197195218733,0.2395795310477456,0.9099265989095293,1.0,1.0,1.0,1.0
ELM_rolling_1m_c1,PAC,1.0,1.0,27000,1m,25.0,1.0,c1,10.0,0.0,1422.56771596037,0.5944345635685335,0.009328428044135816,0.29428544720550553,0.8673074299722112,0.7761392077422715,0.8352278984561311,0.8628131092521925,0.8247267384835316
Persistence_P,PAC,1.0,1.0,0,1m,,,c1,10.0,0.0,1703.2090505955337,0.711703434077466,-0.0003280273210753594,0.3791658046261559,0.8097885653863187,1.0,1.0,1.0,1.0
ELM_rolling_1m_c1,PAC,1.0,3.0,27000,1m,25.0,1.0,c1,10.0,0.0,1777.2472360496076,0.7426410519947172,-0.007768339949581636,0.3786708810756017,0.7928922246652944,0.4259798532916474,0.4939834095081654,0.5368455185915403,0.485602927130451
Persistence_P,PAC,1.0,3.0,0,1m,,,c1,10.0,0.0,3597.7872977943207,1.5033724568485565,-0.0009196268938369658,0.8889408223171166,0.15126584992755576,1.0,1.0,1.0,1.0
ELM_rolling_1m_c1,PAC,1.0,6.0,27000,1m,25.0,1.0,c1,10.0,0.0,1771.3630122637092,0.7401822685154725,-0.007498980486293988,0.3754127945961683,0.7942613657171396,0.24885413912303705,0.32127045210433847,0.3639424633515595,0.31135568485964504
Persistence_P,PAC,1.0,6.0,0,1m,,,c1,10.0,0.0,5513.619446361119,2.303922641087095,-0.0012706146186461326,1.5085656036066928,-0.9933074214712811,1.0,1.0,1.0,1.0
ELM_rolling_1m_c1,PAC,1.0,10.0,27000,1m,25.0,1.0,c1,10.0,0.0,1771.5936604980488,0.7402786472544101,-0.008751013506106386,0.3770503275488995,0.7942077839929693,0.19573197478823656,0.2764411719143841,0.32353846149399523,0.2652372027322053
Persistence_P,PAC,1.0,10.0,0,1m,,,c1,10.0,0.0,6408.573832289803,2.677888543619978,-0.00037723499131814823,1.9263604117663058,-1.692920255249347,1.0,1.0,1.0,1.0
