Method,quantity,LB_days,FH_hours,N_params,window,lambda_ridge,lambda_bc,constraints,gamma1,gamma2,RMSE,nRMSE,nMBE,nMAE,R2,NICE1,NICE2,NICE3,NICE_Sigma
ELM_rolling_6m_c1,PAC,1.0,0.5,27000,6m,25.0,1.0,c1,1.0,0.0,1510.7734425951369,0.6312922344042492,0.01973245318012663,0.30742997736301664,0.8503421876712862,1.283206357481972,1.28899554226882,1.2632187076149117,1.278473535788568
Persistence_P,PAC,1.0,0.5,0,6m,,,c1,1.0,0.0,1172.054823351798,0.4897551726929038,-0.00021732197195218733,0.2395795310477456,0.9099265989095293,1.0,1.0,1.0,1.0
ELM_rolling_6m_c1,PAC,1.0,1.0,27000,6m,25.0,1.0,c1,1.0,0.0,1592.0375715924959,0.6652492872126006,0.021877671372777182,0.33033474761367054,0.8338090638625177,0.8712145018967862,0.9347282243690719,0.9721630721459722,0.9260352661372767
Persistence_P,PAC,1.0,1.0,0,6m,,,c1,1.0,0.0,1703.2090505955337,0.711703434077466,-0.0003280273210753594,0.3791658046261559,0.8097885653863187,1.0,1.0,1.0,1.0
ELM_rolling_6m_c1,PAC,1.0,3.0,27000,6m,25.0,1.0,c1,1.0,0.0,2021.3042832405267,0.8446228014081845,0.023335437565220454,0.4329426637839266,0.7321053125732514,0.48703204185787824,0.5618187279942087,0.6094340216010946,0.5527615971510605
Persistence_P,PAC,1.0,3.0,0,6m,,,c1,1.0,0.0,3597.7872977943207,1.5033724568485565,-0.0009196268938369658,0.8889408223171166,0.15126584992755576,1.0,1.0,1.0,1.0
ELM_rolling_6m_c1,PAC,1.0,6.0,27000,6m,25.0,1.0,c1,1.0,0.0,2029.9839992196212,0.8482497100762535,0.019486640271247663,0.43521113268411976,0.7297996307764003,0.2884933420486407,0.36817629852190303,0.41530423284443485,0.35732462447165947
Persistence_P,PAC,1.0,6.0,0,6m,,,c1,1.0,0.0,5513.619446361119,2.303922641087095,-0.0012706146186461326,1.5085656036066928,-0.9933074214712811,1.0,1.0,1.0,1.0
ELM_rolling_6m_c1,PAC,1.0,10.0,27000,6m,25.0,1.0,c1,1.0,0.0,2020.2704816410806,0.8441908167682347,0.017883211437720117,0.4340464723597108,0.7323792734362788,0.2253194520135138,0.31524494131001246,0.3679822740905678,0.3028488891380314
Persistence_P,PAC,1.0,10.0,0,6m,,,c1,1.0,0.0,6408.573832289803,2.677888543619978,-0.00037723499131814823,1.9263604117663058,-1.692920255249347,1.0,1.0,1.0,1.0
