Method,LB_days,FH_hours,N_params,RMSE,nRMSE,nMBE,nMAE,R2,NICE1,NICE2,NICE3,NICE_Sigma
BLEND_corre,1.0,0.5,0,1850.0587406226682,0.7748671721260446,0.0008838984224584793,0.3516487493253018,0.775121642999895,1.4691406208754187,1.5825746789111033,1.5499647155335687,1.5338933384400304
Persistence_P,1.0,0.5,0,1169.018287273248,0.48962439653033946,-0.0002028382557094,0.23935676703007805,0.9102118064538459,1.0,1.0,1.0,1.0
Persistence_Pcyclic,1.0,0.5,0,2298.3492310510946,0.9626263913237879,0.0004946001312384647,0.42927190161613055,0.652936722531641,1.7934395878692133,1.9660507077370255,1.9380362370529507,1.8991755108863966
BLEND_corre,1.0,1.0,0,1885.613056784251,0.7897585222308141,0.0005327732116586231,0.36446979770199434,0.766395191732178,0.9615454969354151,1.1095209826246395,1.1630750862749135,1.078047188611656
Persistence_P,1.0,1.0,0,1699.4839091043764,0.7118013400364833,-0.00025463430143431317,0.3790458162027823,0.8102373493608154,1.0,1.0,1.0,1.0
Persistence_Pcyclic,1.0,1.0,0,2298.3492310510946,0.9626263913237879,0.0004946001312384647,0.42927190161613055,0.652936722531641,1.1325066344657349,1.3523806955385171,1.42930300902989,1.3047301130113806
BLEND_corre,1.0,3.0,0,2118.7482746899163,0.8873144050508289,-0.0024810934870080894,0.4728664050835031,0.7050828229268948,0.5315977932356991,0.589526913189373,0.6448653489962104,0.5886633518070942
Persistence_P,1.0,3.0,0,3593.980575419995,1.5051295966292857,-0.0006037227097737822,0.8895191272433373,0.15141999275409812,1.0,1.0,1.0,1.0
Persistence_Pcyclic,1.0,3.0,0,2298.479541437,0.9625843858823462,0.0004903766646746743,0.4292693909379232,0.652925561768714,0.48258590264185747,0.6395358831811154,0.727110200816252,0.616410662213075
BLEND_corre,1.0,6.0,0,2819.8130302948807,1.1807131165882625,-0.0008573806111070688,0.7437739165321101,0.4776817830986746,0.4925217397399036,0.511779392516007,0.5356239083778789,0.5133083468779298
Persistence_P,1.0,6.0,0,5509.821363521754,2.3070743641779856,-0.0003613495671311032,1.5101341860054553,-0.9942040048524172,1.0,1.0,1.0,1.0
Persistence_Pcyclic,1.0,6.0,0,2298.6764987692864,0.9625026424557859,0.0004911505510769224,0.4292689494737494,0.6529034809424423,0.28425881186706586,0.41719619332631575,0.4939210346380854,0.39845867994382234
BLEND_corre,1.0,10.0,0,3488.100651594468,1.4602049672441628,-0.0019364917623658016,1.0046827955702387,0.2008827642708816,0.5213121635162888,0.5447522067490016,0.5647862619206723,0.5436168773953208
Persistence_P,1.0,10.0,0,6403.095955151651,2.680493900076962,0.0004177634332251303,1.927219170935087,-1.6928521010434818,1.0,1.0,1.0,1.0
Persistence_Pcyclic,1.0,10.0,0,2298.9392046557177,0.9623926547234581,0.0004911505510769216,0.4292689494737491,0.6528737519211738,0.22274007852748154,0.359035569786533,0.4401107555876496,0.34062880130055473
