Method,quantity,LB_days,FH_hours,N_params,window,lambda_ridge,lambda_bc,RMSE,nRMSE,nMBE,nMAE,R2,NICE1,NICE2,NICE3,NICE_Sigma
ELM_rolling_1m,PAC,1.0,0.5,864,1m,10.0,1.0,1165.3675029721921,1.1920296474811691,0.11239054814485372,0.5775691760774426,0.7061320820335144,1.4955762400280697,1.2901053791738744,1.2010339257196063,1.3289051816405169
Persistence_P,PAC,1.0,0.5,0,1m,,,903.3118703205789,0.9239785111542527,-6.783457902252716e-18,0.3861850440112652,0.8234361443840976,1.0,1.0,1.0,1.0
ELM_rolling_1m,PAC,1.0,6.0,864,1m,10.0,1.0,1517.814741281563,1.5525404358514676,0.2619699472213996,0.8058853610787378,0.501501446716915,0.4360070043320503,0.4660384036614144,0.4706884118204861,0.4575779399379836
Persistence_P,PAC,1.0,6.0,0,1m,,,3256.8447779344033,3.331357295137027,-1.1628784975290372e-17,1.8483312264979093,-1.2951997624774032,1.0,1.0,1.0,1.0
