Method,quantity,LB_days,FH_hours,N_params,window,lambda_ridge,lambda_bc,refit_every,RMSE,nRMSE,nMBE,nMAE,R2,NICE1,NICE2,NICE3,NICE_Sigma
ELM_rolling_1m,PAC,1.0,0.5,27000,1m,50.0,0.25,336,1598.757770920953,0.33567018230269763,-0.050982450698816725,0.22060565394516007,0.8659754995321619,0.9219349585032561,0.966867665525217,0.9785002345952274,0.9557676195412336
Persistence_P,PAC,1.0,0.5,0,1m,,,336,1653.5435281647192,0.34717282857975873,-0.00029020763524014993,0.2392854852833753,0.8566326941601072,1.0,1.0,1.0,1.0
ELM_rolling_1m,PAC,1.0,1.0,27000,1m,100.0,0.25,336,1922.9643246036135,0.4037395765272519,-0.08082641752273424,0.2672205970882382,0.8061073641375486,0.7096811931554617,0.8006443771438408,0.8575271897420444,0.7892842533471157
Persistence_P,PAC,1.0,1.0,0,1m,,,336,2401.7708479555595,0.5042682969529149,-0.0027541122237438715,0.37653611179985325,0.6975302142441537,1.0,1.0,1.0,1.0
ELM_rolling_1m,PAC,1.0,3.0,27000,1m,50.0,0.25,336,2520.429762930833,0.5291815516973446,-0.11094838635812145,0.3611558932126775,0.6669050417756885,0.44724153776158904,0.5119818265626207,0.5616534951279877,0.5069589531507325
Persistence_P,PAC,1.0,3.0,0,1m,,,336,4922.8891186483515,1.033594405587012,-0.0822022928318707,0.8075186732883446,-0.270746635021359,1.0,1.0,1.0,1.0
ELM_rolling_1m,PAC,1.0,6.0,27000,1m,25.0,0.75,336,2734.1731143196707,0.5740584373842559,-0.039331350364770645,0.4057392989098018,0.6080137101809693,0.36805199333451305,0.4044625239657592,0.4394338367915633,0.40398278469727855
Persistence_P,PAC,1.0,6.0,0,1m,,,336,6760.015952803427,1.4193118110316056,-0.40737794255866905,1.1023966892118846,-1.396151657556775,1.0,1.0,1.0,1.0
ELM_rolling_1m,PAC,1.0,10.0,27000,1m,25.0,0.75,336,2779.9333531924412,0.5836661140467372,-0.0442709005106848,0.41553934744692345,0.5947830263764087,0.3866603316174159,0.41523175129662426,0.44576110068588387,0.415884394533308
Persistence_P,PAC,1.0,10.0,0,1m,,,336,6694.895909360681,1.405639410339289,-0.852101777981559,1.0746883335787392,-1.3502091813392534,1.0,1.0,1.0,1.0
