Method,LB_days,FH_hours,N_params,n_hidden,n_candidates,sigma2_corr,tau_corr,RMSE,nRMSE,nMBE,nMAE,R2,NICE1,NICE2,NICE3,NICE_Sigma
BLEND_opti,1.0,0.5,0,,,,,1804.614406847459,0.6019146824608608,-0.008531634643319169,0.3194844316711503,0.8010682247156864,0.969967421430308,0.9783848326706484,0.9962061054685264,0.9815194531898276
ELM,1.0,0.5,432,8.0,2.0,10.0,2.0,2376.3667555573375,0.7926180992761782,0.3215295906779458,0.5339515407811701,0.6550451509135224,1.621098081277867,1.288364529108287,1.200700262789343,1.370054291058499
Persistence_P,1.0,0.5,0,,,,,1844.4832202902132,0.6152126058800853,-6.372997347499629e-19,0.3293764559638926,0.7921812465916855,1.0,1.0,1.0,1.0
Persistence_Pcyclic,1.0,0.5,0,,,,,2431.828491985517,0.8111169172753173,-0.03533726250925794,0.4221329205078036,0.6387555338341862,1.2816123097580456,1.3184335131023257,1.330831150548264,1.3102923244695452
BLEND_opti,1.0,6.0,0,,,,,2272.1994373235934,0.7499130639911081,-0.06786927523958561,0.4006241609715266,0.6861074449678571,0.2755658480556522,0.37469643033947575,0.43248964927926103,0.3609173092247963
ELM,1.0,6.0,432,8.0,4.0,10.0,2.0,2471.279198758234,0.8156170296834511,0.3205851753567382,0.5757434107168335,0.6286941886155166,0.396020102362009,0.4075256242636933,0.4231278109968373,0.4088911792075132
Persistence_P,1.0,6.0,0,,,,,6064.107510351716,2.0013883327142596,-0.032965650020207835,1.4538237005719883,-1.2357431241541734,1.0,1.0,1.0,1.0
Persistence_Pcyclic,1.0,6.0,0,,,,,2444.7022108043047,0.8068456031348811,-0.035337262509257936,0.4221329205078036,0.6366375461473532,0.29036046141063787,0.40314295329215116,0.46781813789463056,0.3871071841991398
