Method,quantity,LB_days,FH_hours,N_params,window,lambda_ridge,lambda_bc,constraints,gamma1,gamma2,RMSE,nRMSE,nMBE,nMAE,R2,NICE1,NICE2,NICE3,NICE_Sigma
ELM_rolling_1m_c1,PAC,1.0,0.5,27000,1m,25.0,1.0,c1,1.0,0.0,1909.5477035627507,0.4009226647269869,0.008802174378007071,0.2756262919878711,0.8088035233847459,1.1518721733642097,1.1548215520411322,1.1231759665459538,1.1432898973170986
Persistence_P,PAC,1.0,0.5,0,1m,,,c1,1.0,0.0,1653.5435281647192,0.34717282857975873,-0.00029020763524014993,0.2392854852833753,0.8566326941601072,1.0,1.0,1.0,1.0
ELM_rolling_1m_c1,PAC,1.0,1.0,27000,1m,25.0,1.0,c1,1.0,0.0,2011.319386740905,0.42229032908929043,0.009691813110856332,0.2929814742591947,0.7878803314755497,0.7780966156439417,0.8374318426143712,0.8664537737601983,0.8273274106728371
Persistence_P,PAC,1.0,1.0,0,1m,,,c1,1.0,0.0,2401.7708479555595,0.5042682969529149,-0.0027541122237438715,0.37653611179985325,0.6975302142441537,1.0,1.0,1.0,1.0
ELM_rolling_1m_c1,PAC,1.0,3.0,27000,1m,25.0,1.0,c1,1.0,0.0,2515.946802475677,0.5282403233382974,-0.00860236758024386,0.37716212487729456,0.6680889061801932,0.46706303811084676,0.5110711904814272,0.5474067633361922,0.5085136639761555
Persistence_P,PAC,1.0,3.0,0,1m,,,c1,1.0,0.0,4922.8891186483515,1.033594405587012,-0.0822022928318707,0.8075186732883446,-0.270746635021359,1.0,1.0,1.0,1.0
ELM_rolling_1m_c1,PAC,1.0,6.0,27000,1m,25.0,1.0,c1,1.0,0.0,2508.5849548791934,0.5266946528372728,-0.007998274193568787,0.3742664669698162,0.6700284575135835,0.3395025317405329,0.37109157321424147,0.39875284187414045,0.36978231560963826
Persistence_P,PAC,1.0,6.0,0,1m,,,c1,1.0,0.0,6760.015952803427,1.4193118110316056,-0.40737794255866905,1.1023966892118846,-1.396151657556775,1.0,1.0,1.0,1.0
ELM_rolling_1m_c1,PAC,1.0,10.0,27000,1m,25.0,1.0,c1,1.0,0.0,2506.315020029053,0.5262180644141728,-0.00944461486823449,0.3759616081367939,0.6706253478230304,0.34983315291497796,0.37436205938986583,0.39849839693741373,0.3742312030807525
Persistence_P,PAC,1.0,10.0,0,1m,,,c1,1.0,0.0,6694.895909360681,1.405639410339289,-0.852101777981559,1.0746883335787392,-1.3502091813392534,1.0,1.0,1.0,1.0
