Method,quantity,LB_days,FH_hours,N_params,window,lambda_ridge,lambda_bc,constraints,gamma1,gamma2,refit_every,RMSE,nRMSE,nMBE,nMAE,R2,NICE1,NICE2,NICE3,NICE_Sigma
ELM_rolling_1m_none,PAC,1.0,0.5,27000,1m,50.0,0.25,none,0.0,0.0,1,1121.0671958331525,0.46844946768400053,-0.048069390882041485,0.21521989324029167,0.9175930201386039,0.8983233763714176,0.9564972333181199,0.9780101703380771,0.9442769266758715
Persistence_P,PAC,1.0,0.5,0,1m,,,none,0.0,0.0,1,1172.054823351798,0.4897551726929038,-0.00021732197195218733,0.2395795310477456,0.9099265989095293,1.0,1.0,1.0,1.0
ELM_rolling_1m_none,PAC,1.0,1.0,27000,1m,100.0,0.25,none,0.0,0.0,1,1330.1816849648408,0.555830109524965,-0.07860184788858846,0.2613422893154785,0.8839827314821969,0.6892559564361369,0.7809855663341723,0.8377797381634248,0.7693404203112446
Persistence_P,PAC,1.0,1.0,0,1m,,,none,0.0,0.0,1,1703.2090505955337,0.711703434077466,-0.0003280273210753594,0.3791658046261559,0.8097885653863187,1.0,1.0,1.0,1.0
ELM_rolling_1m_none,PAC,1.0,3.0,27000,1m,50.0,0.25,none,0.0,0.0,1,1720.0873332071656,0.7187561982063486,-0.11177009745266187,0.34725802033263664,0.8060000115374881,0.39064244954739796,0.47809589362375365,0.5344581809668961,0.4677321747126826
Persistence_P,PAC,1.0,3.0,0,1m,,,none,0.0,0.0,1,3597.7872977943207,1.5033724568485565,-0.0009196268938369658,0.8889408223171166,0.15126584992755576,1.0,1.0,1.0,1.0
ELM_rolling_1m_none,PAC,1.0,6.0,27000,1m,25.0,0.75,none,0.0,0.0,1,1847.9233209707481,0.7721737815959007,-0.03470165432884013,0.39273181233085885,0.7760925203996709,0.26033459293511135,0.3351561236585418,0.3864025205169983,0.32729774570355047
Persistence_P,PAC,1.0,6.0,0,1m,,,none,0.0,0.0,1,5513.619446361119,2.303922641087095,-0.0012706146186461326,1.5085656036066928,-0.9933074214712811,1.0,1.0,1.0,1.0
ELM_rolling_1m_none,PAC,1.0,10.0,27000,1m,25.0,0.75,none,0.0,0.0,1,1860.9153872187014,0.7776026502137589,-0.026822648249164444,0.39841662679132883,0.7729330311496486,0.20682351254613632,0.29037901971924235,0.3451330965163831,0.28077854292725396
Persistence_P,PAC,1.0,10.0,0,1m,,,none,0.0,0.0,1,6408.573832289803,2.677888543619978,-0.00037723499131814823,1.9263604117663058,-1.692920255249347,1.0,1.0,1.0,1.0
