Method,quantity,LB_days,FH_hours,N_params,window,lambda_ridge,lambda_bc,constraints,gamma1,gamma2,RMSE,nRMSE,nMBE,nMAE,R2,NICE1,NICE2,NICE3,NICE_Sigma
ELM_rolling_1y_c1,PAC,1.0,0.5,27000,1y,25.0,1.0,c1,10.0,0.0,2055.407210756926,0.4315468707580525,-0.007904593586860765,0.28932990175251755,0.7784791485970588,1.2091410450988151,1.2430318136458363,1.2274882176571411,1.2265536921339308
Persistence_P,PAC,1.0,0.5,0,1y,,,c1,10.0,0.0,1653.5435281647192,0.34717282857975873,-0.00029020763524014993,0.2392854852833753,0.8566326941601072,1.0,1.0,1.0,1.0
ELM_rolling_1y_c1,PAC,1.0,1.0,27000,1y,25.0,1.0,c1,10.0,0.0,2188.0896550116036,0.4594044618587229,-0.01060199012462838,0.3151681885091221,0.748956439342316,0.8370198199652331,0.9110318150768438,0.9500662668730919,0.8993726339717231
Persistence_P,PAC,1.0,1.0,0,1y,,,c1,10.0,0.0,2401.7708479555595,0.5042682969529149,-0.0027541122237438715,0.37653611179985325,0.6975302142441537,1.0,1.0,1.0,1.0
ELM_rolling_1y_c1,PAC,1.0,3.0,27000,1y,25.0,1.0,c1,10.0,0.0,2814.6760169890795,0.5909605750979451,-0.026711905535594,0.42294414629563526,0.5845912064336621,0.5237577288130556,0.5717528770507608,0.6092297757817813,0.5682467938818659
Persistence_P,PAC,1.0,3.0,0,1y,,,c1,10.0,0.0,4922.8891186483515,1.033594405587012,-0.0822022928318707,0.8075186732883446,-0.270746635021359,1.0,1.0,1.0,1.0
ELM_rolling_1y_c1,PAC,1.0,6.0,27000,1y,25.0,1.0,c1,10.0,0.0,2829.6322008830784,0.594100728700676,-0.02434209870493563,0.4241539274893441,0.5801648092800287,0.3847561695713876,0.4185836572929402,0.44723664667253404,0.4168588245122873
Persistence_P,PAC,1.0,6.0,0,1y,,,c1,10.0,0.0,6760.015952803427,1.4193118110316056,-0.40737794255866905,1.1023966892118846,-1.396151657556775,1.0,1.0,1.0,1.0
ELM_rolling_1y_c1,PAC,1.0,10.0,27000,1y,25.0,1.0,c1,10.0,0.0,2834.684664274399,0.5951615281153774,-0.025117027288912904,0.4260080172597,0.57866419326923,0.39640145328560755,0.4234098188608123,0.44966370987539944,0.4231583273406065
Persistence_P,PAC,1.0,10.0,0,1y,,,c1,10.0,0.0,6694.895909360681,1.405639410339289,-0.852101777981559,1.0746883335787392,-1.3502091813392534,1.0,1.0,1.0,1.0
