Method,quantity,LB_days,FH_hours,N_params,window,lambda_ridge,lambda_bc,constraints,gamma1,gamma2,RMSE,nRMSE,nMBE,nMAE,R2,NICE1,NICE2,NICE3,NICE_Sigma
ELM_rolling_1m_c1,PAC,1.0,0.5,27000,1m,25.0,1.0,c1,50.0,0.0,1913.7995027535158,0.40181535918979877,0.003340238230727175,0.27976772086410295,0.8079511392762234,1.169179653888268,1.1573928778746192,1.115264268791707,1.147278933518198
Persistence_P,PAC,1.0,0.5,0,1m,,,c1,50.0,0.0,1653.5435281647192,0.34717282857975873,-0.00029020763524014993,0.2392854852833753,0.8566326941601072,1.0,1.0,1.0,1.0
ELM_rolling_1m_c1,PAC,1.0,1.0,27000,1m,25.0,1.0,c1,50.0,0.0,2011.074158323933,0.4222388416976868,0.004831074543665903,0.29606885739407296,0.7879320533450374,0.7862960500092686,0.837329739444462,0.8600292247888458,0.8278850047475254
Persistence_P,PAC,1.0,1.0,0,1m,,,c1,50.0,0.0,2401.7708479555595,0.5042682969529149,-0.0027541122237438715,0.37653611179985325,0.6975302142441537,1.0,1.0,1.0,1.0
ELM_rolling_1m_c1,PAC,1.0,3.0,27000,1m,25.0,1.0,c1,50.0,0.0,2496.137432385641,0.5240812099376516,-0.01178412796851429,0.3777542105479159,0.6732949508172017,0.4677962541839938,0.5070472586778454,0.5410106088304633,0.5052847072307675
Persistence_P,PAC,1.0,3.0,0,1m,,,c1,50.0,0.0,4922.8891186483515,1.033594405587012,-0.0822022928318707,0.8075186732883446,-0.270746635021359,1.0,1.0,1.0,1.0
ELM_rolling_1m_c1,PAC,1.0,6.0,27000,1m,25.0,1.0,c1,50.0,0.0,2485.652707644468,0.5218798699164952,-0.011669599763342036,0.3743872840518631,0.6760337571437052,0.33961212666514506,0.36769923695426343,0.3935386629366908,0.36695000885203316
Persistence_P,PAC,1.0,6.0,0,1m,,,c1,50.0,0.0,6760.015952803427,1.4193118110316056,-0.40737794255866905,1.1023966892118846,-1.396151657556775,1.0,1.0,1.0,1.0
ELM_rolling_1m_c1,PAC,1.0,10.0,27000,1m,25.0,1.0,c1,50.0,0.0,2489.0805201375915,0.5225995627088581,-0.012610120881211367,0.37616239380544303,0.6751396167518267,0.350019984447782,0.3717877848791353,0.394587579984688,0.3721317831038684
Persistence_P,PAC,1.0,10.0,0,1m,,,c1,50.0,0.0,6694.895909360681,1.405639410339289,-0.852101777981559,1.0746883335787392,-1.3502091813392534,1.0,1.0,1.0,1.0
