Method,quantity,LB_days,FH_hours,N_params,window,lambda_ridge,lambda_bc,constraints,gamma1,gamma2,refit_every,RMSE,nRMSE,nMBE,nMAE,R2,NICE1,NICE2,NICE3,NICE_Sigma
ELM_rolling_1m_none,PAC,1.0,0.5,864,1m,25.0,1.0,none,0.0,0.0,48,2126.7739379116806,0.8614471364979521,-0.11484818039797645,0.6201451665776666,0.43421411008847566,1.6104756786248962,1.4813669679582187,1.4145981337523694,1.5021469267784948
Persistence_P,PAC,1.0,0.5,0,1m,,,none,0.0,0.0,48,1435.6833815749465,0.5815217668079182,-0.00048072891755390984,0.38506956348895455,0.7421739472804368,1.0,1.0,1.0,1.0
ELM_rolling_1m_none,PAC,1.0,6.0,864,1m,25.0,1.0,none,0.0,0.0,48,2800.686704690161,1.1344146639074604,0.047959078565169774,0.8926528108832652,0.0188429868359824,0.7484239504411135,0.6824183233201925,0.6721155213611814,0.7009859317074958
Persistence_P,PAC,1.0,6.0,0,1m,,,none,0.0,0.0,48,4104.06140776509,1.662344965164703,-0.6555614634166798,1.1927101081641558,-1.1068671597302466,1.0,1.0,1.0,1.0
