Method,quantity,LB_days,FH_hours,RMSE,nRMSE,nMBE,nMAE,R2,NICE1,NICE2,NICE3,NICE_Sigma
NeuralProphet,PAC,1.0,0.5,994.0707823255913,0.41517801365103413,-0.004155473184194856,0.19416457179645835,0.9352678569287637,0.8112260901305826,0.8484850530005312,0.8727702906705991,0.8441604779339044
NeuralProphet,PAC,1.0,1.0,1238.384388912809,0.5172166608925325,-0.004572951802326242,0.2571674684203165,0.8995392758879152,0.6784193635846215,0.726869569038868,0.7684606749316004,0.7245832025183634
NeuralProphet,PAC,1.0,3.0,1727.8620845125179,0.7216491630833183,-0.019428649687267107,0.37347576408560906,0.8044294233026179,0.4200183359757256,0.47996291374672656,0.5237922864723582,0.4745911787316035
NeuralProphet,PAC,1.0,6.0,1915.4662402650067,0.800002859945607,-0.04191912894039951,0.40340506597253767,0.7596553989027673,0.26728795340536443,0.34718671558783554,0.3983322494392501,0.33760230614415
NeuralProphet,PAC,1.0,10.0,1927.4969713163262,0.805027547432117,-0.050705352592422856,0.4063227586608647,0.7566267870889231,0.2109412476642906,0.3006312976669477,0.3563964476771973,0.2893229976694785
