Method,LB_days,FH_hours,N_params,window,lambda_ridge,lambda_bc,RMSE,nRMSE,nMBE,nMAE,R2,NICE1,NICE2,NICE3,NICE_Sigma
ELM_rolling_3m,1.0,0.5,864,3m,10.0,0.5,1962.0128611386845,2.1771708540906785,-0.30728951758555517,0.9795821180770853,0.2924376241579163,1.6535313067706772,1.2726586355121128,1.2183229813812664,1.3815043078880187
Persistence_P,1.0,0.5,0,3m,,,1541.6646745568016,1.7107265006806744,-0.5224901594893641,0.5924182469760401,0.5631414156484009,1.0,1.0,1.0,1.0
ELM_rolling_3m,1.0,6.0,864,3m,25.0,0.5,2055.015583426993,2.2803724285185245,-0.3400085672131271,0.9736705119305422,0.22376848552732387,0.6756711680197629,0.7843854016863899,0.8354605185853644,0.765172362763839
Persistence_P,1.0,6.0,0,3m,,,2619.9054431773093,2.907209164800666,-0.5589580286751814,1.4410419713248193,-0.26163075150015924,1.0,1.0,1.0,1.0
