Method,LB_days,FH_hours,N_params,n_hidden,n_candidates,lambda_l3,delta_l3,RMSE,nRMSE,nMBE,nMAE,R2,NICE1,NICE2,NICE3,NICE_Sigma
BLEND_opti,1.0,0.5,0,,,,,2336.296300016973,0.46498296652126975,-0.00849941813920412,0.3193886263151989,0.6837301496328285,0.9702233461445703,0.9783878767840827,0.9962061476011194,0.9816057901765908
ELM,1.0,0.5,432,8.0,2.0,25.0,500.0,2964.2153059639754,0.5899549754733033,0.21809505603367946,0.44820961224338784,0.4908784951487418,1.3615495165935596,1.241346108159271,1.1913117708802068,1.264735798544346
Persistence_P,1.0,0.5,0,,,,,2387.9039749514013,0.47525421926695166,-3.9810100538269435e-06,0.32919082764228563,0.669603325302881,1.0,1.0,1.0,1.0
Persistence_Pcyclic,1.0,0.5,0,,,,,3148.303749527443,0.6265933036638682,-0.03534557230450425,0.4220313895069782,0.425678328975023,1.282026575678401,1.318438171112604,1.3308312128900666,1.3104319865603573
BLEND_opti,1.0,6.0,0,,,,,2926.1543201978443,0.582379861790107,-0.06783281918810989,0.40054786930214387,0.5038689551771167,0.34810409712191537,0.41493331308083403,0.4603700820381008,0.40780249741361674
ELM,1.0,6.0,432,8.0,4.0,10.0,10.0,2775.763141308552,0.5524481547125133,0.06888957925549828,0.4333128311021924,0.5535562372029792,0.37657913922989467,0.3936076059286401,0.40754457358737356,0.39257710624863607
Persistence_P,1.0,6.0,0,,,,,7052.107478359526,1.4035505066247895,-0.33607811980788954,1.150655429263337,-1.8816404773989976,1.0,1.0,1.0,1.0
Persistence_Pcyclic,1.0,6.0,0,,,,,3148.303749527443,0.6265933036638682,-0.03534557230450425,0.4220313895069782,0.425678328975023,0.36677477789955554,0.44643445369891144,0.4979760201971311,0.43706175059853264
