Model,FH_hours,N,mean,std,MAD,Std_over_MAD,skew,excess_kurt,q01,q05,q95,q99,min,max
OLS,0.5,17508,-51.13359780196023,990.3372970433861,174.89144581154972,5.662582823579042,-0.01378045177824234,11.366705190684778,-3405.890285824124,-1419.8876181862672,1479.6938938069004,3244.2946713155925,-8436.282125593632,9271.376689924427
OLS,1.0,17508,-57.65806015146092,1205.6509073715638,237.47110364753462,5.077042591089506,0.07829423202195253,9.031142800348759,-4040.405071556522,-1802.5867613321295,1980.2214762335625,3789.4250539683767,-10203.254001257368,10083.435015386704
OLS,3.0,17506,-62.300571696655524,1664.1589178204556,344.5602125777105,4.829805813534344,0.44144196191587415,5.828654658337808,-5064.31709943824,-2534.651996527088,2996.4106728265574,5644.250954216195,-9794.063817616921,10545.802067713545
OLS,6.0,17503,-33.38830350760278,1879.4718341593311,373.89869625304345,5.026687316629103,0.3083840864217514,5.235841793319327,-5843.817683108863,-2851.987252466039,3626.306556941688,6105.889330048287,-11115.536274856404,9830.716541097514
OLS,10.0,17499,-37.39895859881163,1894.0004590849715,357.93492003384046,5.291465998639937,0.19215373403061234,5.0050409029593865,-6014.1107005944295,-2950.8677312082614,3576.984384185169,6068.7728523259475,-10701.927899510667,9365.137476498934
Ridge,0.5,17508,-52.031805283613934,985.4490483852616,172.68437285756548,5.706648679774199,0.005809629881787791,11.579099663271302,-3454.2188434296218,-1386.82848053444,1485.3459979371403,3218.6319385740776,-8100.408055812573,9740.673827986118
Ridge,1.0,17508,-46.30069866697249,1201.1455588310155,223.1544270928191,5.382575530672352,0.09070187954045508,8.96013530068468,-4024.3104989137832,-1785.9821861437,2000.6824712896716,3838.640109069419,-10097.642772663447,9998.830840360628
Ridge,3.0,17506,-40.70809514927944,1659.8275304337672,318.81501687912703,5.206240115919825,0.4850718086282215,5.791535317067021,-5046.932756605961,-2509.6647607688506,3037.1551871356123,5704.557079185238,-9524.779002960697,10286.338813000773
Ridge,6.0,17503,-15.636052936655714,1859.8562838567811,331.7922734251563,5.605484011598952,0.37659356352519147,5.372894652298141,-5743.330613573829,-2839.0029338477093,3520.549348264737,6242.626181884987,-10791.80754680528,10116.761803840178
Ridge,10.0,17499,-19.789291613617358,1887.2284385832993,334.5534626073877,5.6410369328564975,0.233132288818643,5.050884112847877,-5953.697874650236,-2907.3220510037445,3551.481848900952,6105.514510718916,-10720.703313369535,9655.29812271333
RobustRisk,0.5,17508,-52.031805283613934,985.4490483852616,172.68437285756548,5.706648679774199,0.005809629881787791,11.579099663271302,-3454.2188434296218,-1386.82848053444,1485.3459979371403,3218.6319385740776,-8100.408055812573,9740.673827986118
RobustRisk,1.0,17508,-46.30069866697249,1201.1455588310155,223.1544270928191,5.382575530672352,0.09070187954045508,8.96013530068468,-4024.3104989137832,-1785.9821861437,2000.6824712896716,3838.640109069419,-10097.642772663447,9998.830840360628
RobustRisk,3.0,17506,-40.70809514927944,1659.8275304337672,318.81501687912703,5.206240115919825,0.4850718086282215,5.791535317067021,-5046.932756605961,-2509.6647607688506,3037.1551871356123,5704.557079185238,-9524.779002960697,10286.338813000773
RobustRisk,6.0,17503,-15.636052936655714,1859.8562838567811,331.7922734251563,5.605484011598952,0.37659356352519147,5.372894652298141,-5743.330613573829,-2839.0029338477093,3520.549348264737,6242.626181884987,-10791.80754680528,10116.761803840178
RobustRisk,10.0,17499,-19.789291613617358,1887.2284385832993,334.5534626073877,5.6410369328564975,0.233132288818643,5.050884112847877,-5953.697874650236,-2907.3220510037445,3551.481848900952,6105.514510718916,-10720.703313369535,9655.29812271333
