Method,quantity,LB_days,FH_hours,N_params,window,lambda_ridge,lambda_bc,constraints,gamma1,gamma2,RMSE,nRMSE,nMBE,nMAE,R2,NICE1,NICE2,NICE3,NICE_Sigma
ELM_rolling_1m_c1,PAC,1.0,0.5,27000,1m,25.0,1.0,c1,10.0,0.0,1904.6861625040476,0.399901950768232,0.0068793889431510245,0.27557266920434564,0.809775823049984,1.1516480779350118,1.1518814776034796,1.1178659808278766,1.1404651787887892
Persistence_P,PAC,1.0,0.5,0,1m,,,c1,10.0,0.0,1653.5435281647192,0.34717282857975873,-0.00029020763524014993,0.2392854852833753,0.8566326941601072,1.0,1.0,1.0,1.0
ELM_rolling_1m_c1,PAC,1.0,1.0,27000,1m,25.0,1.0,c1,10.0,0.0,2006.650538824701,0.4213100723801875,0.00804321654562977,0.292933780569686,0.7888639694107453,0.7779699513267245,0.8354879236430096,0.8628362488477592,0.8254313746058312
Persistence_P,PAC,1.0,1.0,0,1m,,,c1,10.0,0.0,2401.7708479555595,0.5042682969529149,-0.0027541122237438715,0.37653611179985325,0.6975302142441537,1.0,1.0,1.0,1.0
ELM_rolling_1m_c1,PAC,1.0,3.0,27000,1m,25.0,1.0,c1,10.0,0.0,2506.9229171073302,0.5263456965838474,-0.009330983236488162,0.37705797749964376,0.6704655513336611,0.46693406601262066,0.5092381438393317,0.5447809032903966,0.5069843710474496
Persistence_P,PAC,1.0,3.0,0,1m,,,c1,10.0,0.0,4922.8891186483515,1.033594405587012,-0.0822022928318707,0.8075186732883446,-0.270746635021359,1.0,1.0,1.0,1.0
ELM_rolling_1m_c1,PAC,1.0,6.0,27000,1m,25.0,1.0,c1,10.0,0.0,2498.641696483333,0.5246069973968249,-0.008994525566491076,0.37386704639185114,0.6726390845782049,0.33914021155046536,0.36962068047296964,0.39673522707809994,0.3684987063671783
Persistence_P,PAC,1.0,6.0,0,1m,,,c1,10.0,0.0,6760.015952803427,1.4193118110316056,-0.40737794255866905,1.1023966892118846,-1.396151657556775,1.0,1.0,1.0,1.0
ELM_rolling_1m_c1,PAC,1.0,10.0,27000,1m,25.0,1.0,c1,10.0,0.0,2498.9079491542097,0.5246628989750362,-0.010256710585917903,0.37549367616644325,0.6725693143810034,0.3493977411255967,0.3732556835813209,0.3970656464944128,0.3732396904004435
Persistence_P,PAC,1.0,10.0,0,1m,,,c1,10.0,0.0,6694.895909360681,1.405639410339289,-0.852101777981559,1.0746883335787392,-1.3502091813392534,1.0,1.0,1.0,1.0
