Method,quantity,LB_days,FH_hours,N_params,window,lambda_ridge,lambda_bc,constraints,gamma1,gamma2,RMSE,nRMSE,nMBE,nMAE,R2,NICE1,NICE2,NICE3,NICE_Sigma
ELM_rolling_1m_c1,PAC,1.0,0.5,27000,1m,25.0,1.0,c1,300.0,0.0,1988.812636846223,0.41756488225950755,-7.887043511607385e-05,0.29943063535127207,0.7926010267871872,1.251353106506521,1.2027579576653913,1.136597959432642,1.1969030078681848
Persistence_P,PAC,1.0,0.5,0,1m,,,c1,300.0,0.0,1653.5435281647192,0.34717282857975873,-0.00029020763524014993,0.2392854852833753,0.8566326941601072,1.0,1.0,1.0,1.0
ELM_rolling_1m_c1,PAC,1.0,1.0,27000,1m,25.0,1.0,c1,300.0,0.0,2068.3897801630706,0.43427265043436186,0.00032364516109761144,0.31197427220262364,0.7756719263898381,0.828537456105811,0.8611936404856149,0.8714421226834217,0.8537244064249491
Persistence_P,PAC,1.0,1.0,0,1m,,,c1,300.0,0.0,2401.7708479555595,0.5042682969529149,-0.0027541122237438715,0.37653611179985325,0.6975302142441537,1.0,1.0,1.0,1.0
ELM_rolling_1m_c1,PAC,1.0,3.0,27000,1m,25.0,1.0,c1,300.0,0.0,2488.8569931529087,0.5225526316821181,-0.016070183383075563,0.38169089563874425,0.6751979610285959,0.47267129326488283,0.5055683630421194,0.5351416641859399,0.504460440164314
Persistence_P,PAC,1.0,3.0,0,1m,,,c1,300.0,0.0,4922.8891186483515,1.033594405587012,-0.0822022928318707,0.8075186732883446,-0.270746635021359,1.0,1.0,1.0,1.0
ELM_rolling_1m_c1,PAC,1.0,6.0,27000,1m,25.0,1.0,c1,300.0,0.0,2475.3781213465763,0.5197226499057918,-0.015546419155959652,0.3786011270587219,0.6787064874022433,0.3434345646750699,0.3661793313253971,0.3887800650794727,0.3661313203599799
Persistence_P,PAC,1.0,6.0,0,1m,,,c1,300.0,0.0,6760.015952803427,1.4193118110316056,-0.40737794255866905,1.1023966892118846,-1.396151657556775,1.0,1.0,1.0,1.0
ELM_rolling_1m_c1,PAC,1.0,10.0,27000,1m,25.0,1.0,c1,300.0,0.0,2478.9029883594403,0.5204627199616322,-0.016252142545893338,0.37969586336686195,0.6777908105366162,0.3533078861128651,0.3702675921956432,0.39012562650829513,0.37123370160560115
Persistence_P,PAC,1.0,10.0,0,1m,,,c1,300.0,0.0,6694.895909360681,1.405639410339289,-0.852101777981559,1.0746883335787392,-1.3502091813392534,1.0,1.0,1.0,1.0
