Method,quantity,LB_days,FH_hours,N_params,n_hidden,n_candidates,lambda_ridge,lambda_bc,RMSE,nRMSE,nMBE,nMAE,R2,NICE1,NICE2,NICE3,NICE_Sigma
BLEND_opti,PAC,1.0,0.5,0,,,,,2336.296300016973,0.46498296652126975,-0.00849941813920412,0.3193886263151989,0.6837301496328285,0.9702233461445703,0.9783878767840827,0.9962061476011194,0.9816057901765908
ELM,PAC,1.0,0.5,432,8.0,2.0,10.0,0.75,2732.703944665337,0.5438782686963263,0.16569641830926518,0.42994863588972254,0.5672997778884565,1.306077204426015,1.1443944033473763,1.08190439290493,1.1774586668927736
Persistence_P,PAC,1.0,0.5,0,,,,,2387.9039749514013,0.47525421926695166,-3.9810100538269435e-06,0.32919082764228563,0.669603325302881,1.0,1.0,1.0,1.0
Persistence_Pcyclic,PAC,1.0,0.5,0,,,,,3148.303749527443,0.6265933036638682,-0.03534557230450425,0.4220313895069782,0.425678328975023,1.282026575678401,1.318438171112604,1.3308312128900666,1.3104319865603573
BLEND_opti,PAC,1.0,6.0,0,,,,,2926.1543201978443,0.582379861790107,-0.06783281918810989,0.40054786930214387,0.5038689551771167,0.34810409712191537,0.41493331308083403,0.4603700820381008,0.40780249741361674
ELM,PAC,1.0,6.0,432,8.0,4.0,10.0,0.75,2887.7083099310917,0.574728118342749,0.13921865191502536,0.45012944382494935,0.5168203932811697,0.39119395118408945,0.40948160798633143,0.42710907478444543,0.4092615446516221
Persistence_P,PAC,1.0,6.0,0,,,,,7052.107478359526,1.4035505066247895,-0.33607811980788954,1.150655429263337,-1.8816404773989976,1.0,1.0,1.0,1.0
Persistence_Pcyclic,PAC,1.0,6.0,0,,,,,3148.303749527443,0.6265933036638682,-0.03534557230450425,0.4220313895069782,0.425678328975023,0.36677477789955554,0.44643445369891144,0.4979760201971311,0.43706175059853264
