Method,LB_days,FH_hours,N_params,n_hidden,n_candidates,lambda1_en,lambda2_en,RMSE,nRMSE,nMBE,nMAE,R2,NICE1,NICE2,NICE3,NICE_Sigma
BLEND_opti,1.0,0.5,0,,,,,2336.296300016973,0.46498296652126975,-0.00849941813920412,0.3193886263151989,0.6837301496328285,0.9702233461445703,0.9783878767840827,0.9962061476011194,0.9816057901765908
ELM,1.0,0.5,432,8.0,2.0,1.0,10.0,2888.8714351657572,0.5749596101368534,0.2408175752084876,0.4622081933907011,0.5164310800158762,1.404073730428961,1.2097938047213777,1.1349882209597035,1.249618585370014
Persistence_P,1.0,0.5,0,,,,,2387.9039749514013,0.47525421926695166,-3.9810100538269435e-06,0.32919082764228563,0.669603325302881,1.0,1.0,1.0,1.0
Persistence_Pcyclic,1.0,0.5,0,,,,,3148.303749527443,0.6265933036638682,-0.03534557230450425,0.4220313895069782,0.425678328975023,1.282026575678401,1.318438171112604,1.3308312128900666,1.3104319865603573
BLEND_opti,1.0,6.0,0,,,,,2926.1543201978443,0.582379861790107,-0.06783281918810989,0.40054786930214387,0.5038689551771167,0.34810409712191537,0.41493331308083403,0.4603700820381008,0.40780249741361674
ELM,1.0,6.0,432,8.0,4.0,1.0,10.0,2965.2740332397198,0.5901656893923422,0.18526008086282206,0.4858265843900408,0.4905147448613275,0.42221726160113165,0.42048055029494635,0.425703125771077,0.4228003125557183
Persistence_P,1.0,6.0,0,,,,,7052.107478359526,1.4035505066247895,-0.33607811980788954,1.150655429263337,-1.8816404773989976,1.0,1.0,1.0,1.0
Persistence_Pcyclic,1.0,6.0,0,,,,,3148.303749527443,0.6265933036638682,-0.03534557230450425,0.4220313895069782,0.425678328975023,0.36677477789955554,0.44643445369891144,0.4979760201971311,0.43706175059853264
