Method,quantity,LB_days,FH_hours,N_params,window,lambda_ridge,lambda_bc,constraints,gamma1,gamma2,refit_every,RMSE,nRMSE,nMBE,nMAE,R2,NICE1,NICE2,NICE3,NICE_Sigma
ELM_rolling_1y_none,PAC,1.0,0.5,27000,1y,25.0,0.75,none,0.0,0.0,1,979.4664575591235,0.4092801416037442,-0.01214674439331692,0.19227207888873876,0.9370957708832836,0.8025396746035914,0.8356831421571923,0.8617366922356313,0.8333198363321385
Persistence_P,PAC,1.0,0.5,0,1y,,,none,0.0,0.0,1,1172.054823351798,0.4897551726929038,-0.00021732197195218733,0.2395795310477456,0.9099265989095293,1.0,1.0,1.0,1.0
ELM_rolling_1y_none,PAC,1.0,1.0,27000,1y,25.0,0.75,none,0.0,0.0,1,1203.2248872918967,0.5027799047648863,-0.022041520522126233,0.24715573548314182,0.9050720021582143,0.651840784341902,0.7064458040962056,0.7559723601422317,0.704752982860113
Persistence_P,PAC,1.0,1.0,0,1y,,,none,0.0,0.0,1,1703.2090505955337,0.711703434077466,-0.0003280273210753594,0.3791658046261559,0.8097885653863187,1.0,1.0,1.0,1.0
ELM_rolling_1y_none,PAC,1.0,3.0,27000,1y,50.0,0.75,none,0.0,0.0,1,1656.6707774982285,0.692256937613743,-0.04257632201522122,0.3556532298244453,0.8200411819816049,0.4000865084555328,0.4604693497344538,0.5086805815239515,0.4564121465713127
Persistence_P,PAC,1.0,3.0,0,1y,,,none,0.0,0.0,1,3597.7872977943207,1.5033724568485565,-0.0009196268938369658,0.8889408223171166,0.15126584992755576,1.0,1.0,1.0,1.0
ELM_rolling_1y_none,PAC,1.0,6.0,27000,1y,50.0,0.75,none,0.0,0.0,1,1873.3356766916665,0.7827925960205022,-0.05800294783841788,0.40603814836443514,0.7698918944659405,0.2691551148943575,0.33976513883779763,0.38708137735532455,0.3320005436958266
Persistence_P,PAC,1.0,6.0,0,1y,,,none,0.0,0.0,1,5513.619446361119,2.303922641087095,-0.0012706146186461326,1.5085656036066928,-0.9933074214712811,1.0,1.0,1.0,1.0
ELM_rolling_1y_none,PAC,1.0,10.0,27000,1y,100.0,0.75,none,0.0,0.0,1,1896.332903873723,0.7924022241245838,-0.06219877787438501,0.4126981910265098,0.764207563531826,0.21423726759838324,0.2959056029469442,0.34718771362670686,0.2857768613906781
Persistence_P,PAC,1.0,10.0,0,1y,,,none,0.0,0.0,1,6408.573832289803,2.677888543619978,-0.00037723499131814823,1.9263604117663058,-1.692920255249347,1.0,1.0,1.0,1.0
