Method,quantity,LB_days,FH_hours,N_params,window,lambda_ridge,lambda_bc,constraints,gamma1,gamma2,refit_every,RMSE,nRMSE,nMBE,nMAE,R2,NICE1,NICE2,NICE3,NICE_Sigma
ELM_rolling_1m_none,PAC,1.0,0.5,27000,1m,50.0,0.25,none,0.0,0.0,48,1134.6380358220274,0.47412018286721364,-0.05029086090729708,0.219102918969061,0.9155858241269832,0.9145310453312315,0.9680759067030948,0.9861687222545791,0.9562585580963018
Persistence_P,PAC,1.0,0.5,0,1m,,,none,0.0,0.0,48,1172.054823351798,0.4897551726929038,-0.00021732197195218733,0.2395795310477456,0.9099265989095293,1.0,1.0,1.0,1.0
ELM_rolling_1m_none,PAC,1.0,1.0,27000,1m,100.0,0.25,none,0.0,0.0,48,1355.986711067453,0.5666130053105799,-0.08047878712052295,0.2671766451987347,0.8794376858641825,0.7046433036390543,0.7961363935879315,0.8524276196797501,0.7844024389689119
Persistence_P,PAC,1.0,1.0,0,1m,,,none,0.0,0.0,48,1703.2090505955337,0.711703434077466,-0.0003280273210753594,0.3791658046261559,0.8097885653863187,1.0,1.0,1.0,1.0
ELM_rolling_1m_none,PAC,1.0,3.0,27000,1m,50.0,0.25,none,0.0,0.0,48,1788.139973161654,0.7471926943233179,-0.11285595102725758,0.36086009061679897,0.7903457202518096,0.40594388462910236,0.49701103071265523,0.5554082877087028,0.4861210676834868
Persistence_P,PAC,1.0,3.0,0,1m,,,none,0.0,0.0,48,3597.7872977943207,1.5033724568485565,-0.0009196268938369658,0.8889408223171166,0.15126584992755576,1.0,1.0,1.0,1.0
ELM_rolling_1m_none,PAC,1.0,6.0,27000,1m,25.0,0.75,none,0.0,0.0,48,1949.2656901186206,0.8145207337300899,-0.033977154248281495,0.4138540603086399,0.7508603867168785,0.2743361371352984,0.353536494326807,0.40773691793215566,0.3452031831314204
Persistence_P,PAC,1.0,6.0,0,1m,,,none,0.0,0.0,48,5513.619446361119,2.303922641087095,-0.0012706146186461326,1.5085656036066928,-0.9933074214712811,1.0,1.0,1.0,1.0
ELM_rolling_1m_none,PAC,1.0,10.0,27000,1m,25.0,0.75,none,0.0,0.0,48,1956.5785507963928,0.8175764878405326,-0.026247730473224897,0.4182875346219567,0.7489875370052137,0.2171387721980973,0.3053063914061674,0.3630893522677307,0.2951781719573318
Persistence_P,PAC,1.0,10.0,0,1m,,,none,0.0,0.0,48,6408.573832289803,2.677888543619978,-0.00037723499131814823,1.9263604117663058,-1.692920255249347,1.0,1.0,1.0,1.0
