Method,quantity,LB_days,FH_hours,N_params,window,lambda_ridge,lambda_bc,constraints,gamma1,gamma2,RMSE,nRMSE,nMBE,nMAE,R2,NICE1,NICE2,NICE3,NICE_Sigma
ELM_rolling_1m_c1,PAC,1.0,0.5,27000,1m,50.0,1.0,c1,10.0,0.0,1921.039166529454,0.4033353763579277,0.003562487026185877,0.2833225759847091,0.8064953974658552,1.1840357790577336,1.161771150144218,1.1144357069756465,1.1534142120591993
Persistence_P,PAC,1.0,0.5,0,1m,,,c1,10.0,0.0,1653.5435281647192,0.34717282857975873,-0.00029020763524014993,0.2392854852833753,0.8566326941601072,1.0,1.0,1.0,1.0
ELM_rolling_1m_c1,PAC,1.0,1.0,27000,1m,50.0,1.0,c1,10.0,0.0,2009.4284459725566,0.42189331307849753,0.00418767070210025,0.2984146798477495,0.7882789923565255,0.792526056588089,0.8366445315476397,0.8553478106453265,0.8281727995936851
Persistence_P,PAC,1.0,1.0,0,1m,,,c1,10.0,0.0,2401.7708479555595,0.5042682969529149,-0.0027541122237438715,0.37653611179985325,0.6975302142441537,1.0,1.0,1.0,1.0
ELM_rolling_1m_c1,PAC,1.0,3.0,27000,1m,100.0,1.0,c1,300.0,0.0,2464.9951481673156,0.5175426733243996,-0.024769408525652858,0.38079166082194044,0.6813961658052408,0.47155771552786035,0.500721240872497,0.5271649520761076,0.49981463615882166
Persistence_P,PAC,1.0,3.0,0,1m,,,c1,300.0,0.0,4922.8891186483515,1.033594405587012,-0.0822022928318707,0.8075186732883446,-0.270746635021359,1.0,1.0,1.0,1.0
ELM_rolling_1m_c1,PAC,1.0,6.0,27000,1m,100.0,1.0,c1,300.0,0.0,2454.253072955666,0.5152873008031911,-0.023964844990621563,0.3781578798498404,0.6841669696807713,0.3430324887134681,0.3630543315416097,0.38341599859153264,0.3631676062822035
Persistence_P,PAC,1.0,6.0,0,1m,,,c1,300.0,0.0,6760.015952803427,1.4193118110316056,-0.40737794255866905,1.1023966892118846,-1.396151657556775,1.0,1.0,1.0,1.0
ELM_rolling_1m_c1,PAC,1.0,10.0,27000,1m,100.0,1.0,c1,300.0,0.0,2457.0705180969103,0.5158788427749587,-0.023815475720201058,0.37895440672194824,0.6834414104389843,0.352617958976088,0.36700653025261815,0.3848060158716436,0.3681435017001166
Persistence_P,PAC,1.0,10.0,0,1m,,,c1,300.0,0.0,6694.895909360681,1.405639410339289,-0.852101777981559,1.0746883335787392,-1.3502091813392534,1.0,1.0,1.0,1.0
