Method,quantity,LB_days,FH_hours,N_params,window,lambda_ridge,lambda_bc,constraints,gamma1,gamma2,RMSE,nRMSE,nMBE,nMAE,R2,NICE1,NICE2,NICE3,NICE_Sigma
ELM_rolling_6m_c1,PAC,1.0,0.5,27000,6m,25.0,1.0,c1,10.0,0.0,2111.809736902803,0.44338896877820044,0.01566240312254535,0.30186436017836743,0.7661548126960785,1.2615239065624175,1.2771419082306934,1.2515734163437715,1.2634130770456276
Persistence_P,PAC,1.0,0.5,0,6m,,,c1,10.0,0.0,1653.5435281647192,0.34717282857975873,-0.00029020763524014993,0.2392854852833753,0.8566326941601072,1.0,1.0,1.0,1.0
ELM_rolling_6m_c1,PAC,1.0,1.0,27000,6m,25.0,1.0,c1,10.0,0.0,2225.6379339832774,0.4672879810989853,0.016959175122334087,0.3243661722309827,0.7402665464882009,0.8614477126257644,0.9266653960255158,0.9627824608838138,0.9169651898450312
Persistence_P,PAC,1.0,1.0,0,6m,,,c1,10.0,0.0,2401.7708479555595,0.5042682969529149,-0.0027541122237438715,0.37653611179985325,0.6975302142441537,1.0,1.0,1.0,1.0
ELM_rolling_6m_c1,PAC,1.0,3.0,27000,6m,25.0,1.0,c1,10.0,0.0,2825.7344180457053,0.593282362404421,0.018786630233982735,0.4265440125294742,0.581320648065006,0.5282156644037952,0.5739992004576269,0.6118112485151093,0.5713420377921771
Persistence_P,PAC,1.0,3.0,0,6m,,,c1,10.0,0.0,4922.8891186483515,1.033594405587012,-0.0822022928318707,0.8075186732883446,-0.270746635021359,1.0,1.0,1.0,1.0
ELM_rolling_6m_c1,PAC,1.0,6.0,27000,6m,25.0,1.0,c1,10.0,0.0,2840.609112532975,0.5964054067461305,0.01509079577313945,0.429458958263571,0.576901181877139,0.38956843980599754,0.4202074569594697,0.4480154198865131,0.41926377221732675
Persistence_P,PAC,1.0,6.0,0,6m,,,c1,10.0,0.0,6760.015952803427,1.4193118110316056,-0.40737794255866905,1.1023966892118846,-1.396151657556775,1.0,1.0,1.0,1.0
ELM_rolling_6m_c1,PAC,1.0,10.0,27000,6m,25.0,1.0,c1,10.0,0.0,2826.2356695589096,0.5933876036047311,0.013494557798873697,0.42773631240895854,0.5811720974644846,0.3980096359514631,0.4221478134719494,0.44698526857927046,0.4223809060008943
Persistence_P,PAC,1.0,10.0,0,6m,,,c1,10.0,0.0,6694.895909360681,1.405639410339289,-0.852101777981559,1.0746883335787392,-1.3502091813392534,1.0,1.0,1.0,1.0
