Method,quantity,LB_days,FH_hours,N_params,window,lambda_ridge,lambda_bc,constraints,gamma1,gamma2,RMSE,nRMSE,nMBE,nMAE,R2,NICE1,NICE2,NICE3,NICE_Sigma
ELM_rolling_1m_c1,PAC,1.0,0.5,27000,1m,25.0,1.0,c1,30.0,0.0,1906.8747495911186,0.4003614596693705,0.004562836321423408,0.2773867163852555,0.8093384162227225,1.1592291778866513,1.1532050515220327,1.1147412222348745,1.1423918172145193
Persistence_P,PAC,1.0,0.5,0,1m,,,c1,30.0,0.0,1653.5435281647192,0.34717282857975873,-0.00029020763524014993,0.2392854852833753,0.8566326941601072,1.0,1.0,1.0,1.0
ELM_rolling_1m_c1,PAC,1.0,1.0,27000,1m,25.0,1.0,c1,30.0,0.0,2006.8459173122876,0.42135109343649696,0.006012035291399964,0.29428704604140893,0.7888228526883599,0.7815639372136407,0.835569271323515,0.8602805427867959,0.8258045837746506
Persistence_P,PAC,1.0,1.0,0,1m,,,c1,30.0,0.0,2401.7708479555595,0.5042682969529149,-0.0027541122237438715,0.37653611179985325,0.6975302142441537,1.0,1.0,1.0,1.0
ELM_rolling_1m_c1,PAC,1.0,3.0,27000,1m,25.0,1.0,c1,30.0,0.0,2499.0293860662805,0.524688395489364,-0.010741685525569202,0.3773091947049939,0.6725374899694374,0.4672451637168102,0.5076347091791545,0.5422360893814363,0.5057053207591337
Persistence_P,PAC,1.0,3.0,0,1m,,,c1,30.0,0.0,4922.8891186483515,1.033594405587012,-0.0822022928318707,0.8075186732883446,-0.270746635021359,1.0,1.0,1.0,1.0
ELM_rolling_1m_c1,PAC,1.0,6.0,27000,1m,25.0,1.0,c1,30.0,0.0,2489.607552449709,0.5227102167650921,-0.010587310083449857,0.3738982625184506,0.6750020317733362,0.33916852815092774,0.36828427178744316,0.3946688944398007,0.3673738981260572
Persistence_P,PAC,1.0,6.0,0,1m,,,c1,30.0,0.0,6760.015952803427,1.4193118110316056,-0.40737794255866905,1.1023966892118846,-1.396151657556775,1.0,1.0,1.0,1.0
ELM_rolling_1m_c1,PAC,1.0,10.0,27000,1m,25.0,1.0,c1,30.0,0.0,2492.0433571174704,0.5232216306964284,-0.011637582803639088,0.3756136076662103,0.6743657717900685,0.3495093376657468,0.3722303364915862,0.39549400287067765,0.37241122567600354
Persistence_P,PAC,1.0,10.0,0,1m,,,c1,30.0,0.0,6694.895909360681,1.405639410339289,-0.852101777981559,1.0746883335787392,-1.3502091813392534,1.0,1.0,1.0,1.0
