Method,LB_days,FH_hours,N_params,RMSE,nRMSE,nMBE,nMAE,R2,NICE1,NICE2,NICE3,NICE_Sigma
AR_OLS,1.0,0.5,53,1995.5588287070962,0.6656026651208768,-0.23835606713331536,0.3574782668071015,0.7567435365849905,1.0853182136560773,1.0819067404652847,1.1055136903772842,1.0909128814995486
BLEND_opti,1.0,0.5,0,1804.614406847459,0.6019146824608608,-0.008531634643319169,0.3194844316711503,0.8010682247156864,0.969967421430308,0.9783848326706484,0.9962061054685264,0.9815194531898276
Persistence_P,1.0,0.5,0,1844.4832202902132,0.6152126058800853,-6.372997347499629e-19,0.3293764559638926,0.7921812465916855,1.0,1.0,1.0,1.0
Persistence_Pcyclic,1.0,0.5,0,2431.828491985517,0.8111169172753173,-0.03533726250925794,0.4221329205078036,0.6387555338341862,1.2816123097580456,1.3184335131023257,1.330831150548264,1.3102923244695452
AR_OLS,1.0,6.0,53,3447.2350463606526,1.137719934900982,-0.5822216508378012,0.627180251044825,0.27751320814049363,0.43140048604109904,0.5684653579238265,0.6455096456865598,0.5484584965504951
BLEND_opti,1.0,6.0,0,2272.1994373235934,0.7499130639911081,-0.06786927523958561,0.4006241609715266,0.6861074449678571,0.2755658480556522,0.37469643033947575,0.43248964927926103,0.3609173092247963
Persistence_P,1.0,6.0,0,6064.107510351716,2.0013883327142596,-0.032965650020207835,1.4538237005719883,-1.2357431241541734,1.0,1.0,1.0,1.0
Persistence_Pcyclic,1.0,6.0,0,2444.7022108043047,0.8068456031348811,-0.035337262509257936,0.4221329205078036,0.6366375461473532,0.29036046141063787,0.40314295329215116,0.46781813789463056,0.3871071841991398
