Method,quantity,LB_days,FH_hours,N_params,window,lambda_ridge,lambda_bc,constraints,gamma1,gamma2,RMSE,nRMSE,nMBE,nMAE,R2,NICE1,NICE2,NICE3,NICE_Sigma
ELM_rolling_1m_c2,PAC,1.0,0.5,27000,1m,50.0,1.0,c2,0.0,10.0,1361.6292659636124,0.5689708049565853,0.0065588501621065215,0.28465595065842336,0.8784322263480958,1.1881480417527595,1.1617453713211783,1.115281741900961,1.155058384991633
Persistence_P,PAC,1.0,0.5,0,1m,,,c2,0.0,10.0,1172.054823351798,0.4897551726929038,-0.00021732197195218733,0.2395795310477456,0.9099265989095293,1.0,1.0,1.0,1.0
ELM_rolling_1m_c2,PAC,1.0,1.0,27000,1m,50.0,1.0,c2,0.0,10.0,1424.775347227022,0.5953570450179503,0.006615632391193803,0.29971115178872904,0.8668952688332472,0.7904487908244617,0.8365240583525808,0.8562440635378944,0.827738970904979
Persistence_P,PAC,1.0,1.0,0,1m,,,c2,0.0,10.0,1703.2090505955337,0.711703434077466,-0.0003280273210753594,0.3791658046261559,0.8097885653863187,1.0,1.0,1.0,1.0
ELM_rolling_1m_c2,PAC,1.0,3.0,27000,1m,100.0,1.0,c2,0.0,300.0,1738.7928195531508,0.7265724782242783,-0.02420292933104969,0.37864170041819806,0.8017576739249904,0.4259470269699497,0.48329505766478875,0.5186425960817994,0.475961560238846
Persistence_P,PAC,1.0,3.0,0,1m,,,c2,0.0,300.0,3597.7872977943207,1.5033724568485565,-0.0009196268938369658,0.8889408223171166,0.15126584992755576,1.0,1.0,1.0,1.0
ELM_rolling_1m_c2,PAC,1.0,6.0,27000,1m,100.0,1.0,c2,0.0,300.0,1734.7552679807834,0.7248853457385074,-0.02328785977891032,0.3764330710282371,0.802677259408638,0.24953046133907425,0.3146309397768988,0.3520029583226787,0.3053881198128839
Persistence_P,PAC,1.0,6.0,0,1m,,,c2,0.0,300.0,5513.619446361119,2.303922641087095,-0.0012706146186461326,1.5085656036066928,-0.9933074214712811,1.0,1.0,1.0,1.0
ELM_rolling_1m_c2,PAC,1.0,10.0,27000,1m,100.0,1.0,c2,0.0,300.0,1735.905528988181,0.7253659941408652,-0.022953070349732877,0.3777315020205245,0.8024154957953635,0.19608558175994567,0.27087236168549167,0.3134146506879327,0.2601241980444567
Persistence_P,PAC,1.0,10.0,0,1m,,,c2,0.0,300.0,6408.573832289803,2.677888543619978,-0.00037723499131814823,1.9263604117663058,-1.692920255249347,1.0,1.0,1.0,1.0
