Method,quantity,LB_days,FH_hours,N_params,window,lambda_ridge,lambda_bc,constraints,gamma1,gamma2,refit_every,RMSE,nRMSE,nMBE,nMAE,R2,NICE1,NICE2,NICE3,NICE_Sigma
ELM_rolling_6m_none,PAC,1.0,0.5,27000,6m,25.0,0.75,none,0.0,0.0,2,1393.3499035693633,0.2925433887793744,-0.0160102270986136,0.18704075410545745,0.8982020003490233,0.7816636010494047,0.8426448290211345,0.8730749486104606,0.832461126227
Persistence_P,PAC,1.0,0.5,0,6m,,,none,0.0,0.0,2,1653.5435281647192,0.34717282857975873,-0.00029020763524014993,0.2392854852833753,0.8566326941601072,1.0,1.0,1.0,1.0
ELM_rolling_6m_none,PAC,1.0,1.0,27000,6m,25.0,0.75,none,0.0,0.0,2,1713.4276892203895,0.35974591977857223,-0.02287509416929203,0.239370719018874,0.8460603757634235,0.6357178276332519,0.7134018179456617,0.7688254995410754,0.7059817150399964
Persistence_P,PAC,1.0,1.0,0,6m,,,none,0.0,0.0,2,2401.7708479555595,0.5042682969529149,-0.0027541122237438715,0.37653611179985325,0.6975302142441537,1.0,1.0,1.0,1.0
ELM_rolling_6m_none,PAC,1.0,3.0,27000,6m,50.0,0.75,none,0.0,0.0,2,2339.701072085565,0.4912363209020546,-0.03559533750973056,0.3465593594340429,0.7129618591204578,0.42916575293893583,0.4752699107567881,0.5162832037222713,0.4735729558059984
Persistence_P,PAC,1.0,3.0,0,6m,,,none,0.0,0.0,2,4922.8891186483515,1.033594405587012,-0.0822022928318707,0.8075186732883446,-0.270746635021359,1.0,1.0,1.0,1.0
ELM_rolling_6m_none,PAC,1.0,6.0,27000,6m,100.0,1.0,none,0.0,0.0,2,2634.761487258791,0.5531862830244926,-0.0017291673750273512,0.4035300989722277,0.6359999245343015,0.3660479960808988,0.3897566966785243,0.4192692725815192,0.39169132178031413
Persistence_P,PAC,1.0,6.0,0,6m,,,none,0.0,0.0,2,6760.015952803427,1.4193118110316056,-0.40737794255866905,1.1023966892118846,-1.396151657556775,1.0,1.0,1.0,1.0
ELM_rolling_6m_none,PAC,1.0,10.0,27000,6m,100.0,1.0,none,0.0,0.0,2,2641.8942293791606,0.5546838512561599,0.0019978443972565895,0.4052605625624598,0.6340264381157843,0.3770958983177308,0.3946131896816069,0.42033693893254237,0.3973486756439601
Persistence_P,PAC,1.0,10.0,0,6m,,,none,0.0,0.0,2,6694.895909360681,1.405639410339289,-0.852101777981559,1.0746883335787392,-1.3502091813392534,1.0,1.0,1.0,1.0
