Method,LB_days,FH_hours,N_params,n_hidden,n_candidates,lambda_mae,delta_mae,RMSE,nRMSE,nMBE,nMAE,R2,NICE1,NICE2,NICE3,NICE_Sigma
BLEND_opti,1.0,0.5,0,,,,,2336.296300016973,0.46498296652126975,-0.00849941813920412,0.3193886263151989,0.6837301496328285,0.9702233461445703,0.9783878767840827,0.9962061476011194,0.9816057901765908
ELM,1.0,0.5,432,8.0,2.0,10.0,500.0,3046.5727285538,0.606346217744493,0.24771187456500254,0.4635953113504427,0.46219473312756987,1.4082874503848795,1.2758355279406928,1.2224415043594594,1.3021881608950105
Persistence_P,1.0,0.5,0,,,,,2387.9039749514013,0.47525421926695166,-3.9810100538269435e-06,0.32919082764228563,0.669603325302881,1.0,1.0,1.0,1.0
Persistence_Pcyclic,1.0,0.5,0,,,,,3148.303749527443,0.6265933036638682,-0.03534557230450425,0.4220313895069782,0.425678328975023,1.282026575678401,1.318438171112604,1.3308312128900666,1.3104319865603573
BLEND_opti,1.0,6.0,0,,,,,2926.1543201978443,0.582379861790107,-0.06783281918810989,0.40054786930214387,0.5038689551771167,0.34810409712191537,0.41493331308083403,0.4603700820381008,0.40780249741361674
ELM,1.0,6.0,432,8.0,4.0,10.0,500.0,2929.1820818450715,0.5829824641195448,0.1747112280930458,0.46991126783507364,0.5028417067487527,0.40838573901825354,0.4153626544736756,0.42523962450630526,0.4163293393327448
Persistence_P,1.0,6.0,0,,,,,7052.107478359526,1.4035505066247895,-0.33607811980788954,1.150655429263337,-1.8816404773989976,1.0,1.0,1.0,1.0
Persistence_Pcyclic,1.0,6.0,0,,,,,3148.303749527443,0.6265933036638682,-0.03534557230450425,0.4220313895069782,0.425678328975023,0.36677477789955554,0.44643445369891144,0.4979760201971311,0.43706175059853264
