Method,quantity,LB_days,FH_hours,N_params,window,lambda_ridge,lambda_bc,constraints,gamma1,gamma2,RMSE,nRMSE,nMBE,nMAE,R2,NICE1,NICE2,NICE3,NICE_Sigma
ELM_rolling_3m_c1,PAC,1.0,0.5,864,3m,10.0,1.0,c1,100.0,0.0,2259.001340913312,2.3106844537886855,1.108323323882438,1.3165493515210094,-0.10422950366249051,3.409115324213863,2.500798910249689,2.126430949866265,2.6787817281099393
Persistence_P,PAC,1.0,0.5,0,3m,,,c1,100.0,0.0,903.3118703205789,0.9239785111542527,-6.783457902252716e-18,0.3861850440112652,0.8234361443840976,1.0,1.0,1.0,1.0
ELM_rolling_3m_c1,PAC,1.0,6.0,864,3m,10.0,0.75,c1,100.0,0.0,2087.659637596862,2.1354226675433856,0.8525618170494231,1.2526941251897874,0.056926028137485596,0.6777433109558539,0.6410067964371712,0.6095818956360385,0.6427773343430213
Persistence_P,PAC,1.0,6.0,0,3m,,,c1,100.0,0.0,3256.8447779344033,3.331357295137027,-1.1628784975290372e-17,1.8483312264979093,-1.2951997624774032,1.0,1.0,1.0,1.0
