Method,quantity,LB_days,FH_hours,RMSE,nRMSE,nMBE,nMAE,R2,NICE1,NICE2,NICE3,NICE_Sigma
NeuralProphet,PAC,1.0,0.5,1404.4296241192887,0.29472666110078116,-0.006463530644793,0.1964963420836041,0.8966736215414347,0.8219769285854693,0.8496911035259745,0.8729209234164523,0.8481963185092987
NeuralProphet,PAC,1.0,1.0,1750.9409206295738,0.36744380954331834,-0.007862175909562966,0.26048821591250265,0.8393967868786147,0.6919853906196405,0.7288045017089372,0.7688330766912888,0.7298743230066221
NeuralProphet,PAC,1.0,3.0,2441.581720475877,0.5123782750821803,-0.022887025492841568,0.3769783243953716,0.6877130944584997,0.466754508917799,0.4956731951089295,0.5317197580728251,0.49804915403318456
NeuralProphet,PAC,1.0,6.0,2702.93955213508,0.5672255381664815,-0.042846311590210226,0.40437736147950537,0.6172775736193674,0.36676219175253877,0.3996273470436124,0.43425980396407016,0.40021644758674046
NeuralProphet,PAC,1.0,10.0,2719.8175761921875,0.5707674768944184,-0.051511469926793875,0.4071732564692708,0.612482966785146,0.3788404537212912,0.4060463609557866,0.4373998319588298,0.40742888221196916
