Method,quantity,LB_days,FH_hours,N_params,window,lambda_ridge,lambda_bc,constraints,gamma1,gamma2,RMSE,nRMSE,nMBE,nMAE,R2,NICE1,NICE2,NICE3,NICE_Sigma
ELM_rolling_1m_c1,PAC,1.0,0.5,27000,1m,25.0,1.0,c1,100.0,0.0,1370.7743237460777,0.5727921614872716,0.003970195131264934,0.2876745138873086,0.8767937808108158,1.2007474621443273,1.1695479566612672,1.1199608708089934,1.1634187632048627
Persistence_P,PAC,1.0,0.5,0,1m,,,c1,100.0,0.0,1172.054823351798,0.4897551726929038,-0.00021732197195218733,0.2395795310477456,0.9099265989095293,1.0,1.0,1.0,1.0
ELM_rolling_1m_c1,PAC,1.0,1.0,27000,1m,25.0,1.0,c1,100.0,0.0,1435.612636863179,0.5998855180479922,0.005481068884340372,0.30297566579974816,0.8648626949821502,0.7990585176806002,0.8428869235759471,0.8619152379550069,0.8346202264038514
Persistence_P,PAC,1.0,1.0,0,1m,,,c1,100.0,0.0,1703.2090505955337,0.711703434077466,-0.0003280273210753594,0.3791658046261559,0.8097885653863187,1.0,1.0,1.0,1.0
ELM_rolling_1m_c1,PAC,1.0,3.0,27000,1m,25.0,1.0,c1,100.0,0.0,1768.1323113405033,0.7388322868789148,-0.010322059163968516,0.38219424760963877,0.7950111542728693,0.42994340907126954,0.4914499288005392,0.5314029155587503,0.48426541781018634
Persistence_P,PAC,1.0,3.0,0,1m,,,c1,100.0,0.0,3597.7872977943207,1.5033724568485565,-0.0009196268938369658,0.8889408223171166,0.15126584992755576,1.0,1.0,1.0,1.0
ELM_rolling_1m_c1,PAC,1.0,6.0,27000,1m,25.0,1.0,c1,100.0,0.0,1759.4123895489017,0.735188577798224,-0.010179470133212699,0.37909283950991557,0.7970280610455164,0.2512935722540517,0.31910297884451916,0.35949326696730544,0.30996327268862545
Persistence_P,PAC,1.0,6.0,0,1m,,,c1,100.0,0.0,5513.619446361119,2.303922641087095,-0.0012706146186461326,1.5085656036066928,-0.9933074214712811,1.0,1.0,1.0,1.0
ELM_rolling_1m_c1,PAC,1.0,10.0,27000,1m,25.0,1.0,c1,100.0,0.0,1762.5044037218938,0.736480607748608,-0.011001002010587008,0.3807188773567751,0.7963140231258559,0.1976363690985992,0.27502287557981453,0.32036486644290624,0.2643413703737733
Persistence_P,PAC,1.0,10.0,0,1m,,,c1,100.0,0.0,6408.573832289803,2.677888543619978,-0.00037723499131814823,1.9263604117663058,-1.692920255249347,1.0,1.0,1.0,1.0
