Method,LB_days,FH_hours,RMSE,nRMSE,nMBE,nMAE,R2,NICE1,NICE2,NICE3,NICE_Sigma
NeuralProphet_classic,1.0,0.5,1314.1262354664475,0.5488505746555278,-0.007717871971481082,0.3469851038493498,0.8868747535556953,1.4497153961966842,1.1216670768057362,1.0591065580235222,1.210163010341981
NeuralProphet_classic,1.0,1.0,1478.9351370893407,0.6176837338473951,-0.001988693632725442,0.4079809313794211,0.8567206438485464,1.0762720709631635,0.8680608019262227,0.8493227825955056,0.9312185518282973
NeuralProphet_classic,1.0,3.0,2054.599962167745,0.8581126679376644,-0.006290595003407979,0.5527726990972535,0.7234714868930967,0.6216592656717056,0.5707236667006109,0.6065242608086847,0.5996357310603337
NeuralProphet_classic,1.0,6.0,2190.612958607327,0.9149190912794734,0.003310676777625802,0.5540011667050897,0.6856476786830774,0.3670698524219033,0.39705827345607814,0.4506670541432765,0.40493172667375266
NeuralProphet_classic,1.0,10.0,2175.043015417844,0.9084162363510284,-0.0035749987517097823,0.5540312872293556,0.6901003629794022,0.28762368949841804,0.3392410021583305,0.39810079408920496,0.34165516191531786
