ds,y,yhat_0.5h,yhat_1h,yhat_3h,yhat_6h,yhat_10h
2021-08-01 06:00:00,1093.167,1048.2178955078125,1097.780517578125,1260.7646484375,1301.961181640625,1288.962646484375
2021-08-01 06:30:00,2547.167,1668.0755615234375,1668.1611328125,1900.6041259765625,1934.0693359375,1923.4598388671875
2021-08-01 07:00:00,5025.166499999999,3043.526123046875,2368.53466796875,2627.33251953125,2678.21630859375,2678.25244140625
2021-08-01 07:30:00,5965.666499999999,5304.56494140625,3895.05322265625,3444.061279296875,3569.911376953125,3563.4873046875
2021-08-01 08:00:00,7130.833500000001,6625.63427734375,6167.31591796875,4551.248046875,4697.435546875,4698.40576171875
2021-08-01 08:30:00,8623.5,7626.5615234375,7285.51953125,5286.88720703125,5478.21728515625,5467.8046875
2021-08-01 09:00:00,11363.6665,9167.052734375,8493.2587890625,6329.66064453125,6479.68701171875,6476.71728515625
2021-08-01 09:30:00,12048.0,11146.2119140625,9608.90234375,7249.923828125,7014.04638671875,7015.1044921875
2021-08-01 10:00:00,10633.667,11899.1767578125,11397.845703125,8792.3095703125,7851.3076171875,7868.1416015625
2021-08-01 10:30:00,12128.8335,10878.09375,11695.7177734375,9264.2060546875,8101.59423828125,8123.8662109375
2021-08-01 11:00:00,15088.0,11777.3125,10923.162109375,9618.8125,8450.234375,8462.1533203125
2021-08-01 11:30:00,10668.1665,13623.0029296875,11358.3916015625,9629.623046875,8214.337890625,8247.3623046875
2021-08-01 12:00:00,8459.167,10768.0859375,12927.556640625,10503.9248046875,8463.53125,8515.2021484375
2021-08-01 12:30:00,8722.167,8739.990234375,10349.69140625,9868.541015625,8319.501953125,8252.8759765625
2021-08-01 13:00:00,3625.6665,8417.77734375,8483.8779296875,9303.1484375,8292.3056640625,8016.25
2021-08-01 13:30:00,8279.3335,4212.9814453125,7558.375,9030.986328125,7866.48486328125,7544.92626953125
2021-08-01 14:00:00,13070.333,6763.36279296875,3978.447509765625,9425.4130859375,7456.59716796875,7160.80810546875
2021-08-01 14:30:00,9756.3335,10244.041015625,5852.69287109375,7162.56640625,6820.7841796875,6496.71630859375
2021-08-01 15:00:00,9713.5,7980.322265625,8298.4443359375,5498.65478515625,6136.4462890625,5614.0478515625
2021-08-01 15:30:00,6123.833500000001,8096.14306640625,6764.38037109375,4204.38720703125,4997.97900390625,4608.908203125
2021-08-01 16:00:00,6879.0,5749.4912109375,7230.86962890625,1607.88720703125,3891.135009765625,3644.0078125
2021-08-01 16:30:00,2786.0,5359.32421875,4620.86572265625,1955.0693359375,2990.696533203125,2723.80859375
2021-08-01 17:00:00,2482.833,2247.419677734375,4040.102783203125,3181.08349609375,2232.012939453125,1755.168212890625
2021-08-01 17:30:00,645.333,1696.9482421875,1602.30419921875,2346.080078125,1103.07763671875,1118.5126953125
2021-08-01 18:00:00,290.8335,237.72991943359375,997.7820434570312,2632.126953125,382.4005432128906,639.1009521484375
2021-08-01 18:30:00,290.5,-136.9673309326172,-150.88742065429688,1178.8345947265625,36.65697479248047,295.81292724609375
2021-08-01 19:00:00,32.3335,-89.71903991699219,-424.77960205078125,993.0375366210938,-734.4392700195312,22.675424575805664
2021-08-01 19:30:00,0.0,-181.83306884765625,-279.2152099609375,-108.01419067382812,-435.0499267578125,-213.7394256591797
2021-08-01 20:00:00,0.0,-256.7427978515625,-401.5715026855469,-178.01844787597656,185.37161254882812,-168.88226318359375
2021-08-01 20:30:00,0.0,-46.52250289916992,-225.99966430664062,-588.0167236328125,131.2242431640625,-133.5238037109375
2021-08-01 21:00:00,0.0,-110.36576843261719,-147.8528289794922,-603.593994140625,336.6832580566406,-246.8135528564453
2021-08-01 21:30:00,0.0,-64.68364715576172,-134.96104431152344,-431.9886474609375,-3.3125290870666504,-364.5325927734375
2021-08-01 22:00:00,0.0,-93.48189544677734,-115.7601089477539,-408.07965087890625,-14.390253067016602,-262.9809875488281
2021-08-01 22:30:00,0.0,-104.43194580078125,-165.14028930664062,-405.9446716308594,-354.12823486328125,-332.4752502441406
2021-08-01 23:00:00,0.0,-102.54430389404297,-180.1554412841797,-365.4381103515625,-384.9463195800781,-237.5292510986328
2021-08-01 23:30:00,0.0,-85.0387191772461,-168.6254425048828,-385.0749816894531,-522.7242431640625,-333.9139099121094
2021-08-02 00:00:00,0.0,-85.82841491699219,-160.00062561035156,-377.2138366699219,-535.3297729492188,-395.9638977050781
2021-08-02 00:30:00,0.0,-21.16576385498047,-104.20708465576172,-344.42523193359375,-443.4263610839844,-385.8399353027344
2021-08-02 01:00:00,0.0,-9.799612998962402,-43.81788635253906,-292.43572998046875,-387.7686767578125,-297.8656921386719
2021-08-02 01:30:00,0.0,30.163726806640625,-0.9785478115081787,-218.63853454589844,-315.18707275390625,-296.7992248535156
2021-08-02 02:00:00,0.0,53.1666145324707,55.69625473022461,-131.12579345703125,-234.11676025390625,-315.62994384765625
2021-08-02 02:30:00,0.0,78.46682739257812,101.20606994628906,-53.93050765991211,-170.58438110351562,-220.5041961669922
2021-08-02 03:00:00,0.0,94.38751220703125,131.3850860595703,63.672969818115234,-66.93355560302734,-132.89166259765625
2021-08-02 03:30:00,0.0,103.4040298461914,155.87171936035156,157.5140380859375,15.41865062713623,-21.17939567565918
2021-08-02 04:00:00,0.0,32.23593521118164,90.61470794677734,135.87411499023438,-17.434131622314453,-49.48230743408203
2021-08-02 04:30:00,35.25,143.082763671875,150.4132080078125,212.83856201171875,81.8746109008789,42.43586349487305
2021-08-02 05:00:00,471.1665,343.2181396484375,423.48846435546875,507.43310546875,420.9424133300781,373.81231689453125
2021-08-02 05:30:00,883.5,789.6036376953125,717.0098876953125,848.49365234375,789.825439453125,737.025390625
2021-08-02 06:00:00,1627.6665,1415.4544677734375,1362.0655517578125,1405.4930419921875,1370.1092529296875,1309.975830078125
2021-08-02 06:30:00,2152.333,2452.677001953125,2325.63525390625,2348.057373046875,2364.8623046875,2308.29736328125
2021-08-02 07:00:00,2269.8335,3237.45166015625,3488.35595703125,3517.45263671875,3573.472900390625,3516.426025390625
2021-08-02 07:30:00,3584.0,3608.662353515625,4289.345703125,4606.41845703125,4705.400390625,4643.3505859375
2021-08-02 08:00:00,5721.166499999999,5048.92724609375,5063.36962890625,6103.6435546875,6193.232421875,6134.900390625
2021-08-02 08:30:00,6381.166499999999,6877.466796875,6452.73779296875,7405.16162109375,7544.06103515625,7500.9033203125
2021-08-02 09:00:00,6548.667,7566.7021484375,7978.70361328125,8514.2568359375,8669.94921875,8646.4755859375
2021-08-02 09:30:00,6708.167,7908.8154296875,8587.671875,9270.6796875,9631.615234375,9608.041015625
2021-08-02 10:00:00,10933.5,7942.330078125,8792.8447265625,9638.76171875,10274.0244140625,10233.900390625
2021-08-02 10:30:00,8419.1665,10603.5263671875,8514.396484375,9913.1943359375,10505.326171875,10493.919921875
2021-08-02 11:00:00,11935.333,8852.0166015625,10366.3505859375,10185.0283203125,10416.9228515625,10395.2939453125
