Method,quantity,LB_days,FH_hours,N_params,window,lambda_ridge,lambda_bc,constraints,gamma1,gamma2,refit_every,RMSE,nRMSE,nMBE,nMAE,R2,NICE1,NICE2,NICE3,NICE_Sigma
ELM_rolling_1y_none,PAC,1.0,0.5,27000,1y,25.0,1.0,none,0.0,0.0,48,39.73546646814116,0.3950904585638752,0.015612199896874776,0.17185574391509215,0.9346145729993172,0.8271061029671327,0.858188662958984,0.8841609283161223,0.8564852314140796
Persistence_P,PAC,1.0,0.5,0,1y,,,none,0.0,0.0,48,46.30155137581941,0.46037715902890924,-0.00020155453600892862,0.2077795621366867,0.911219943267266,1.0,1.0,1.0,1.0
ELM_rolling_1y_none,PAC,1.0,1.0,27000,1y,25.0,1.0,none,0.0,0.0,48,50.010597979493994,0.49725627619381035,0.020310548023381104,0.2330779872639569,0.8964265535669611,0.6533793811809744,0.722669438509634,0.788825010951324,0.7216246102139774
Persistence_P,PAC,1.0,1.0,0,1y,,,none,0.0,0.0,48,69.20259155089107,0.6880826138425132,-0.00036557390700694633,0.3567268787127497,0.8016788418616818,1.0,1.0,1.0,1.0
ELM_rolling_1y_none,PAC,1.0,3.0,27000,1y,50.0,1.0,none,0.0,0.0,48,67.60811604278904,0.6722287151555558,0.02558532616128778,0.34946768543563655,0.8107124713595119,0.39971008863501345,0.46692055635723495,0.5675836351141448,0.47807142670213104
Persistence_P,PAC,1.0,3.0,0,1y,,,none,0.0,0.0,48,144.79575834108903,1.439706832357242,-0.0003655739070069467,0.8743028894493212,0.1317675521321633,1.0,1.0,1.0,1.0
ELM_rolling_1y_none,PAC,1.0,6.0,27000,1y,100.0,1.0,none,0.0,0.0,48,75.2157916045299,0.7478719702486675,0.02251871006872042,0.4015220971343544,0.7657161274657003,0.2660851212561122,0.33835517260964243,0.4228652787825028,0.3424351908827525
Persistence_P,PAC,1.0,6.0,0,1y,,,none,0.0,0.0,48,222.2983352800867,2.2103163503620533,-0.0003655739070069431,1.5089986814703606,-1.0464293396891189,1.0,1.0,1.0,1.0
ELM_rolling_1y_none,PAC,1.0,10.0,27000,1y,100.0,1.0,none,0.0,0.0,48,75.59045716844766,0.7515972766968765,0.022579139689865493,0.40614961640876973,0.7633762805302795,0.21058265391130823,0.29206714238150866,0.3768674866384828,0.29317242764376655
Persistence_P,PAC,1.0,10.0,0,1y,,,none,0.0,0.0,48,258.8119175340466,2.5733715561715362,-0.00036557390700695034,1.9286945475567472,-1.773913241628557,1.0,1.0,1.0,1.0
