Method,quantity,LB_days,FH_hours,N_params,window,lambda_ridge,lambda_bc,constraints,gamma1,gamma2,refit_every,RMSE,nRMSE,nMBE,nMAE,R2,NICE1,NICE2,NICE3,NICE_Sigma
ELM_rolling_1y_none,PAC,1.0,0.5,27000,1y,25.0,1.0,none,0.0,0.0,48,55.40388886580314,0.27605880267850397,-0.004209048542990698,0.1517777342720108,0.890810491661926,0.733430432052745,0.847203440118716,0.8831456458568081,0.8212598393427563
Persistence_P,PAC,1.0,0.5,0,1y,,,none,0.0,0.0,48,65.39620384218408,0.32584712196142723,-0.0007031889347013261,0.20694223697155725,0.8478732843010595,1.0,1.0,1.0,1.0
ELM_rolling_1y_none,PAC,1.0,1.0,27000,1y,25.0,1.0,none,0.0,0.0,48,69.85409405450721,0.3480592781778789,-0.002928270081020141,0.20963324813273013,0.8264262122660644,0.5956604281075635,0.715528233681254,0.7876844041500737,0.6996243553129636
Persistence_P,PAC,1.0,1.0,0,1y,,,none,0.0,0.0,48,97.62590875711703,0.4864368193931097,-0.004807868530412959,0.35193415281713974,0.6609758852199819,1.0,1.0,1.0,1.0
ELM_rolling_1y_none,PAC,1.0,3.0,27000,1y,50.0,1.0,none,0.0,0.0,48,94.5587622812539,0.47115426791342496,-0.004666886382047824,0.31893073966263985,0.681943724209392,0.41259368382594513,0.4827844202002892,0.5782877389842986,0.4912219476701776
Persistence_P,PAC,1.0,3.0,0,1y,,,none,0.0,0.0,48,195.8612546817998,0.9759102576631629,-0.10155150251304512,0.7729898739729194,-0.3645752061914884,1.0,1.0,1.0,1.0
ELM_rolling_1y_none,PAC,1.0,6.0,27000,1y,100.0,1.0,none,0.0,0.0,48,105.42612163799573,0.5253026368043836,-0.006242383367907442,0.37255608699337167,0.6046362275847594,0.3507430238790861,0.3967475546728928,0.4702238405793704,0.40590480637711646
Persistence_P,PAC,1.0,6.0,0,1y,,,none,0.0,0.0,48,265.7259519215351,1.3240223679197742,-0.44743821241314824,1.0621910105952823,-1.5117034063503505,1.0,1.0,1.0,1.0
ELM_rolling_1y_none,PAC,1.0,10.0,27000,1y,100.0,1.0,none,0.0,0.0,48,105.98605315520729,0.5280925858023282,-0.006791543577563677,0.3764933658407369,0.600425420752392,0.35892096639696547,0.3965984595133331,0.46644693892891254,0.4073221216130704
Persistence_P,PAC,1.0,10.0,0,1y,,,none,0.0,0.0,48,267.23768237845155,1.3315548084840063,-0.880569907512545,1.048958966148376,-1.5403631532864388,1.0,1.0,1.0,1.0
