Method,LB_days,FH_hours,N_params,RMSE,nRMSE,nMBE,nMAE,R2,NICE1,NICE2,NICE3,NICE_Sigma
BLEND_opti,1.0,0.5,0,43.0819564126353,0.42832713402490197,-0.008739051243127077,0.18359833870001024,0.9231651326484138,0.8835864930962776,0.9306899532718964,0.9392172197475651,0.9178312220385797
Persistence_P,1.0,0.5,0,46.29034219309889,0.46022537636630995,-0.0002019512760325829,0.20778762479340543,0.9112949603576208,1.0,1.0,1.0,1.0
Persistence_Pcyclic,1.0,0.5,0,92.9647424224805,0.9242691140996065,0.001459734728808684,0.38157260848039526,0.6422298916445427,1.836358680454512,2.0082967206135707,1.624729963958876,1.8231284550089863
BLEND_opti,1.0,1.0,0,58.11435814102184,0.5777814783949823,-0.019736019727806024,0.26390977818575584,0.8601912338976927,0.7400134621539586,0.8401856031960636,0.898486859252353,0.826228641534125
Persistence_P,1.0,1.0,0,69.16847648895076,0.687683145482502,-0.0003662935028214869,0.35662834756761475,0.801945856930331,1.0,1.0,1.0,1.0
Persistence_Pcyclic,1.0,1.0,0,92.9647424224805,0.9242691140996065,0.001459734728808684,0.38157260848039526,0.6422298916445427,1.0699446947583189,1.3440333970248868,1.3043939105806637,1.2394573341212898
BLEND_opti,1.0,3.0,0,79.50831082601549,0.7903929964264267,-0.05592111653785784,0.36569675184288314,0.7383240968796736,0.41856641693877844,0.549364199262135,0.6609405822135888,0.5429570661381674
Persistence_P,1.0,3.0,0,144.72787075096107,1.4387413622657312,-0.0003625370913219422,0.8736887075590961,0.13295223407280343,1.0,1.0,1.0,1.0
Persistence_Pcyclic,1.0,3.0,0,92.97005272108379,0.9242163213470803,0.0014597347288086832,0.38157260848039526,0.6422127727752805,0.4367374846201566,0.642378363190743,0.773001959260251,0.6173726023570502
BLEND_opti,1.0,6.0,0,88.13995568504778,0.8760501190633531,-0.09216325221929501,0.39728284839563394,0.6784555017615819,0.2634026721510581,0.3964961744760293,0.5044696251921048,0.38812282393973074
Persistence_P,1.0,6.0,0,222.29711497601448,2.2094793732147746,-0.00021175050484557422,1.5082718985014594,-1.045328547870933,1.0,1.0,1.0,1.0
Persistence_Pcyclic,1.0,6.0,0,92.97801987551284,0.9241371265635403,0.0014597347288086834,0.38157260848039526,0.6421870840626721,0.25298661922926896,0.41826012850209515,0.5373044235701512,0.40285039043383847
BLEND_opti,1.0,10.0,0,89.91602725472535,0.8934988004972091,-0.11313319530588432,0.3990728681038017,0.6654107520751714,0.20684272568521953,0.3472292731063741,0.4556762249966253,0.3365827412627396
Persistence_P,1.0,10.0,0,258.95290005453967,2.573224292133586,0.0004336516599265733,1.929354135040382,-1.7751043512730567,1.0,1.0,1.0,1.0
Persistence_Pcyclic,1.0,10.0,0,92.98864593496188,0.9240315229605714,0.0014597347288086823,0.3815726084803953,0.6421528130020776,0.19777219824519612,0.3590948234809379,0.47737385621632233,0.3447469593141521
