Method,quantity,LB_days,FH_hours,N_params,window,lambda_ridge,lambda_bc,constraints,gamma1,gamma2,refit_every,RMSE,nRMSE,nMBE,nMAE,R2,NICE1,NICE2,NICE3,NICE_Sigma
ELM_rolling_6m_none,PAC,1.0,0.5,27000,6m,25.0,0.75,none,0.0,0.0,48,40.12423000480547,0.39895594140894924,-0.0123131947748526,0.16385304972159792,0.9333288793095397,0.7885907932263716,0.8665850022848264,0.8908179822013933,0.8486645925708638
Persistence_P,PAC,1.0,0.5,0,6m,,,none,0.0,0.0,48,46.30155137581941,0.46037715902890924,-0.00020155453600892862,0.2077795621366867,0.911219943267266,1.0,1.0,1.0,1.0
ELM_rolling_6m_none,PAC,1.0,1.0,27000,6m,25.0,0.75,none,0.0,0.0,48,50.86630728666876,0.5057646092428288,-0.015969582048198396,0.22419434664884003,0.8928518310261692,0.6284761817159564,0.7350347168611749,0.8004345552619709,0.7213151512797008
Persistence_P,PAC,1.0,1.0,0,6m,,,none,0.0,0.0,48,69.20259155089107,0.6880826138425132,-0.00036557390700694633,0.3567268787127497,0.8016788418616818,1.0,1.0,1.0,1.0
ELM_rolling_6m_none,PAC,1.0,3.0,27000,6m,25.0,0.5,none,0.0,0.0,48,71.34101578569549,0.7093450045133356,-0.08426395773361711,0.3374076301079643,0.7892328561845792,0.3859161786832023,0.4927010059068207,0.60029077089917,0.4929693184963977
Persistence_P,PAC,1.0,3.0,0,6m,,,none,0.0,0.0,48,144.79575834108903,1.439706832357242,-0.0003655739070069467,0.8743028894493212,0.1317675521321633,1.0,1.0,1.0,1.0
ELM_rolling_6m_none,PAC,1.0,6.0,27000,6m,25.0,0.5,none,0.0,0.0,48,79.49744315268693,0.7904445086868005,-0.09882220491825289,0.3983384226427061,0.7382837707357717,0.2639753284970184,0.35761600757164214,0.44287424470841996,0.3548218602590268
Persistence_P,PAC,1.0,6.0,0,6m,,,none,0.0,0.0,48,222.2983352800867,2.2103163503620533,-0.0003655739070069431,1.5089986814703606,-1.0464293396891189,1.0,1.0,1.0,1.0
ELM_rolling_6m_none,PAC,1.0,10.0,27000,6m,25.0,0.5,none,0.0,0.0,48,79.64428311215482,0.7919045410477692,-0.09854571917822298,0.3971458799297354,0.7373160441920166,0.2059143478332721,0.3077303544249567,0.39544336847847894,0.3030293569122359
Persistence_P,PAC,1.0,10.0,0,6m,,,none,0.0,0.0,48,258.8119175340466,2.5733715561715362,-0.00036557390700695034,1.9286945475567472,-1.773913241628557,1.0,1.0,1.0,1.0
