Method,quantity,LB_days,FH_hours,N_params,window,lambda_ridge,lambda_bc,constraints,gamma1,gamma2,refit_every,RMSE,nRMSE,nMBE,nMAE,R2,NICE1,NICE2,NICE3,NICE_Sigma
ELM_rolling_6m_none,PAC,1.0,0.5,27000,6m,25.0,0.75,none,0.0,0.0,48,56.47738785842042,0.28140768436614705,-0.020581761508413562,0.15525477342877217,0.8865382140393525,0.7502324112313081,0.8636187506344131,0.8905632192864797,0.8348047937174004
Persistence_P,PAC,1.0,0.5,0,6m,,,none,0.0,0.0,48,65.39620384218408,0.32584712196142723,-0.0007031889347013261,0.20694223697155725,0.8478732843010595,1.0,1.0,1.0,1.0
ELM_rolling_6m_none,PAC,1.0,1.0,27000,6m,25.0,0.75,none,0.0,0.0,48,71.58044112501732,0.35666108059732454,-0.02532060034663444,0.21452141221283,0.8177409289223697,0.6095498561183758,0.7332115217805747,0.7998067661299163,0.7141893813429556
Persistence_P,PAC,1.0,1.0,0,6m,,,none,0.0,0.0,48,97.62590875711703,0.4864368193931097,-0.004807868530412959,0.35193415281713974,0.6609758852199819,1.0,1.0,1.0,1.0
ELM_rolling_6m_none,PAC,1.0,3.0,27000,6m,25.0,0.5,none,0.0,0.0,48,100.65218516238278,0.5015157291612563,-0.09053469946502851,0.3308207405321516,0.6396314956607557,0.42797551646031196,0.51389533537863,0.6122990130602667,0.5180566216330695
Persistence_P,PAC,1.0,3.0,0,6m,,,none,0.0,0.0,48,195.8612546817998,0.9759102576631629,-0.10155150251304512,0.7729898739729194,-0.3645752061914884,1.0,1.0,1.0,1.0
ELM_rolling_6m_none,PAC,1.0,6.0,27000,6m,25.0,0.5,none,0.0,0.0,48,112.18049827273954,0.5589574066192499,-0.10615625577512995,0.3907418807694986,0.552353553937689,0.3678640441049446,0.42216613568051026,0.4929088229006982,0.42764633422871773
Persistence_P,PAC,1.0,6.0,0,6m,,,none,0.0,0.0,48,265.7259519215351,1.3240223679197742,-0.44743821241314824,1.0621910105952823,-1.5117034063503505,1.0,1.0,1.0,1.0
ELM_rolling_6m_none,PAC,1.0,10.0,27000,6m,25.0,0.5,none,0.0,0.0,48,112.39950707753174,0.5600486532747586,-0.10560227935402436,0.3897875589946253,0.5506039768826632,0.3715946682126835,0.42059752231482067,0.4897491281871154,0.4273137729048732
Persistence_P,PAC,1.0,10.0,0,6m,,,none,0.0,0.0,48,267.23768237845155,1.3315548084840063,-0.880569907512545,1.048958966148376,-1.5403631532864388,1.0,1.0,1.0,1.0
