Method,quantity,LB_days,FH_hours,N_params,window,lambda_ridge,lambda_bc,constraints,gamma1,gamma2,refit_every,RMSE,nRMSE,nMBE,nMAE,R2,NICE1,NICE2,NICE3,NICE_Sigma
ELM_rolling_6m_none,PAC,1.0,0.5,27000,6m,25.0,0.75,none,0.0,0.0,48,1048.2192591164708,0.7004594501763223,-0.02383674790172911,0.30383611578875497,0.8650434547980721,0.9973615093842406,0.9535753653709366,0.9282754669610935,0.9597374472387569
Persistence_P,PAC,1.0,0.5,0,6m,,,none,0.0,0.0,48,1099.2516136453653,0.7345611847930307,-0.00015532212464130824,0.30463990532012797,0.8515829120781411,1.0,1.0,1.0,1.0
ELM_rolling_6m_none,PAC,1.0,1.0,27000,6m,50.0,1.0,none,0.0,0.0,48,1372.9931848460728,0.9174855765994445,0.052153572893175584,0.4570926248850608,0.7684597779191537,0.9202656385920989,0.8475398578308896,0.8391329023961484,0.8689794662730456
Persistence_P,PAC,1.0,1.0,0,6m,,,none,0.0,0.0,48,1619.9747683371222,1.0825279402759502,-0.00028335250645158754,0.4966963947326776,0.677665951399305,1.0,1.0,1.0,1.0
ELM_rolling_6m_none,PAC,1.0,3.0,27000,6m,100.0,1.0,none,0.0,0.0,48,1843.6133119825092,1.2319716086284274,0.06526660550666098,0.6651049082654878,0.5825260768848968,0.6176467984503069,0.6272312320190142,0.6570894258131379,0.6339891520941531
Persistence_P,PAC,1.0,3.0,0,6m,,,none,0.0,0.0,48,2939.288125127387,1.9641426410843663,-0.0004559326449419304,1.0768369720919055,-0.06114321771126785,1.0,1.0,1.0,1.0
ELM_rolling_6m_none,PAC,1.0,6.0,27000,6m,200.0,1.0,none,0.0,0.0,48,1987.7332880060287,1.3282779856453397,0.07918309366951252,0.7289878036980918,0.5147049025247648,0.4732510395073624,0.5154523297532655,0.5550747863844687,0.5145927185483655
Persistence_P,PAC,1.0,6.0,0,6m,,,none,0.0,0.0,48,3856.2892691890797,2.576917221969205,-0.00046034748569400753,1.5403828895060478,-0.8265387501349215,1.0,1.0,1.0,1.0
ELM_rolling_6m_none,PAC,1.0,10.0,27000,6m,200.0,0.75,none,0.0,0.0,48,2011.1040780127455,1.3438952246684897,-0.0732583597804206,0.6757221131056013,0.5032260938509332,0.36109661519684333,0.4527273790856042,0.5113023047381979,0.4417087663402151
Persistence_P,PAC,1.0,10.0,0,6m,,,none,0.0,0.0,48,4442.196719082181,2.9684425699696386,-0.0004356645123982965,1.8713055860056933,-1.423735681729561,1.0,1.0,1.0,1.0
