Method,quantity,LB_days,FH_hours,N_params,window,lambda_ridge,lambda_bc,constraints,gamma1,gamma2,refit_every,RMSE,nRMSE,nMBE,nMAE,R2,NICE1,NICE2,NICE3,NICE_Sigma
ELM_rolling_1m_none,PAC,1.0,0.5,27000,1m,50.0,0.5,none,0.0,0.0,48,1700.2533248092568,0.5499723015002973,-0.10965092176787276,0.3311429843569167,0.7570159258494917,1.091613364013032,1.0760315705145342,1.0181053589680191,1.0619167644985286
Persistence_P,PAC,1.0,0.5,0,1m,,,none,0.0,0.0,48,1580.1147209800115,0.5111116779197407,-0.0007617216845392141,0.3033518966271682,0.7901409113957288,1.0,1.0,1.0,1.0
ELM_rolling_1m_none,PAC,1.0,1.0,27000,1m,50.0,0.75,none,0.0,0.0,48,2051.7312681664152,0.6636630854641594,-0.07159287500296688,0.42552094220759884,0.6461725697132343,0.867488036430172,0.8816947735246672,0.8727753121746127,0.8739860407098172
Persistence_P,PAC,1.0,1.0,0,1m,,,none,0.0,0.0,48,2327.031224155276,0.7527129630258516,-0.005855833320150127,0.49052081912123396,0.5448495614530815,1.0,1.0,1.0,1.0
ELM_rolling_1m_none,PAC,1.0,3.0,27000,1m,200.0,0.5,none,0.0,0.0,48,2860.7047919820006,0.9253376396342421,-0.24850693186216752,0.6141424461398004,0.3121454235995751,0.6383920380083307,0.699277603715342,0.746350871608759,0.6946735044441438
Persistence_P,PAC,1.0,3.0,0,1m,,,none,0.0,0.0,48,4090.9429628272787,1.3232765281167556,-0.11492079917377028,0.9620145765849701,-0.4066867381522561,1.0,1.0,1.0,1.0
ELM_rolling_1m_none,PAC,1.0,6.0,27000,1m,400.0,0.5,none,0.0,0.0,48,3051.4010101558597,0.9870211761203395,-0.2862247381558313,0.6533981773854532,0.21738329184392646,0.5980006965086536,0.6431082622806846,0.6811935290133319,0.6407674959342233
Persistence_P,PAC,1.0,6.0,0,1m,,,none,0.0,0.0,48,4744.770342919456,1.5347667477012665,-0.4480408322332382,1.092637819989559,-0.8922605580056273,1.0,1.0,1.0,1.0
ELM_rolling_1m_none,PAC,1.0,10.0,27000,1m,400.0,0.5,none,0.0,0.0,48,3062.621982746167,0.9906507670939406,-0.2856767253017442,0.6572419746995337,0.21161684738619801,0.6168605708516498,0.6367768859712136,0.6669855141461938,0.6402076569896857
Persistence_P,PAC,1.0,10.0,0,1m,,,none,0.0,0.0,48,4809.568390779525,1.5557266429088388,-0.8064394170875724,1.0654627735277884,-0.9442976598359956,1.0,1.0,1.0,1.0
