horizon,h_steps,MAE,RMSE,R2,n
0.5h,1,830.7948,1314.1262,0.8869,17512
1h,2,976.8386,1478.9351,0.8567,17512
3h,6,1323.5171,2054.6,0.7235,17512
6h,12,1326.4584,2190.613,0.6856,17512
10h,20,1326.5305,2175.043,0.6901,17512
